DateGrafted,DateEvaluated,DaysAfterGrafting,DaysAfterGermination,Sample,RiceGenotype,GraftType,Fused,NotSeparated,Separated,Total,AttachmentEfficiency,Special Notes
23/09/2020,24/09/2020,1,1,G1,Kitaake,SelfGraft,1,NA,NA,10,10.00,"Reps: sg0, sg1, sg3 (not sg6 as the junction split when sectioned); ngc3, ngc4-ngc7 (not ngc1 or ngc2 because of colehiza tissue), wc2-6 (not wc1 some shoot from the root half) are the best samples for sequencing"
23/09/2020,24/09/2020,1,1,G2,Kitaake,SelfGraft,1,NA,NA,11,9.09,"Max and Anoop collected 3 ngc and 3 wc each, Greg collected all 6 sg samples"
23/09/2020,24/09/2020,1,1,G3,Kitaake,SelfGraft,1,NA,NA,10,10.00,
23/09/2020,24/09/2020,1,1,G4,Kitaake,SelfGraft,2,NA,NA,10,20.00,
23/09/2020,24/09/2020,1,1,G5,Kitaake,SelfGraft,2,NA,NA,11,18.18,
23/09/2020,24/09/2020,1,1,G6,Kitaake,SelfGraft,1,NA,NA,10,10.00,
23/09/2020,24/09/2020,1,1,G7,Kitaake,SelfGraft,3,NA,NA,10,30.00,
23/09/2020,24/09/2020,1,1,G8,Kitaake,SelfGraft,0,NA,NA,10,0.00,
23/09/2020,24/09/2020,1,1,C1,Kitaake,NonGraftControl,10,NA,NA,10,100.00,
23/09/2020,24/09/2020,1,1,C2,Kitaake,NonGraftControl,10,NA,NA,10,100.00,
23/09/2020,26/09/2020,3,1,G1,Kitaake,SelfGraft,4,NA,NA,10,40.00,"Reps: sg0, sg1, sg3 (others are fine too); ngc2-ngc6 (not ngc1), wc1-6 (all fine) are the best samples for sequencing"
23/09/2020,26/09/2020,3,1,G2,Kitaake,SelfGraft,6,NA,NA,10,60.00,"Max and Anoop collected 3 ngc and 3 wc each, Greg collected all 6 sg samples"
23/09/2020,26/09/2020,3,1,G3,Kitaake,SelfGraft,2,NA,NA,9,22.22,
23/09/2020,26/09/2020,3,1,G4,Kitaake,SelfGraft,7,NA,NA,10,70.00,
23/09/2020,26/09/2020,3,1,G5,Kitaake,SelfGraft,5,NA,NA,10,50.00,
23/09/2020,26/09/2020,3,1,G6,Kitaake,SelfGraft,6,NA,NA,10,60.00,
23/09/2020,26/09/2020,3,1,C1,Kitaake,NonGraftControl,10,NA,NA,10,100.00,
23/09/2020,26/09/2020,3,1,C2,Kitaake,NonGraftControl,10,NA,NA,10,100.00,
23/09/2020,28/09/2020,5,1,G1,Kitaake,SelfGraft,8,NA,NA,13,61.54,All reps are good for sequecing
23/09/2020,28/09/2020,5,1,G2,Kitaake,SelfGraft,6,NA,NA,10,60.00,"Max and Anoop collected 3 ngc and 3 wc each, Greg collected all 6 sg samples"
23/09/2020,28/09/2020,5,1,G3,Kitaake,SelfGraft,7,NA,NA,10,70.00,
23/09/2020,28/09/2020,5,1,G4,Kitaake,SelfGraft,7,NA,NA,10,70.00,
23/09/2020,28/09/2020,5,1,G5,Kitaake,SelfGraft,5,NA,NA,10,50.00,
23/09/2020,28/09/2020,5,1,G6,Kitaake,SelfGraft,8,NA,NA,12,66.67,
23/09/2020,28/09/2020,5,1,G7,Kitaake,SelfGraft,8,NA,NA,12,66.67,
23/09/2020,28/09/2020,5,1,C1,Kitaake,NonGraftControl,10,NA,NA,10,100.00,
23/09/2020,28/09/2020,5,1,C2,Kitaake,NonGraftControl,10,NA,NA,10,100.00,
23/09/2020,30/09/2020,7,1,G1,Kitaake,SelfGraft,2,NA,NA,6,33.33,All reps are good for sequencing. 
23/09/2020,30/09/2020,7,1,G2,Kitaake,SelfGraft,5,NA,NA,10,50.00,"Greg collected all 6 ngc, 6 wc, and 6 sg samples."
23/09/2020,30/09/2020,7,1,G3,Kitaake,SelfGraft,6,NA,NA,10,60.00,"Note: The plants at this timepoint looked somehow less good (less vigous growth). Most of the poor looking plants, were on filter paper without a membrane, thus maybe the membrane helps control the moisture on the seed. Worth testing this better."
23/09/2020,30/09/2020,7,1,G4,Kitaake,SelfGraft,7,NA,NA,10,70.00,
23/09/2020,30/09/2020,7,1,G5,Kitaake,SelfGraft,7,NA,NA,10,70.00,
23/09/2020,30/09/2020,7,1,G6,Kitaake,SelfGraft,8,NA,NA,10,80.00,
23/09/2020,30/09/2020,7,1,G7,Kitaake,SelfGraft,6,NA,NA,9,66.67,
23/09/2020,30/09/2020,7,1,C1,Kitaake,NonGraftControl,10,NA,NA,10,100.00,
23/09/2020,30/09/2020,7,1,C2,Kitaake,NonGraftControl,10,NA,NA,10,100.00,
02/10/2020,3/10/2020,1,10,G1,Kitaake,SelfGraft,0,3,0,3,0.00,"All three ""grafts"" were very weakly attached"
02/10/2020,3/10/2020,1,10,G2,Kitaake,SelfGraft,0,1,3,4,0.00,
02/10/2020,3/10/2020,1,10,G3,Kitaake,SelfGraft,0,4,0,4,0.00,
02/10/2020,3/10/2020,1,10,G4,Kitaake,SelfGraft,0,1,1,2,0.00,
02/10/2020,3/10/2020,1,10,G5,Kitaake,SelfGraft,0,4,3,7,0.00,
02/10/2020,3/10/2020,1,10,G6,Kitaake,SelfGraft,2,4,1,5,40.00,
02/10/2020,3/10/2020,1,10,G7,Kitaake,SelfGraft,1,4,1,5,20.00,
02/10/2020,3/10/2020,1,10,G8,Kitaake,SelfGraft,0,3,2,5,0.00,
02/10/2020,3/10/2020,1,10,C1,Kitaake,NonGraftControl,5,5,0,5,100.00,
02/10/2020,3/10/2020,1,10,C2,Kitaake,NonGraftControl,5,5,0,5,100.00,
02/10/2020,5/10/2020,3,10,G1,Kitaake,SelfGraft,0,3,1,4,0.00,"The two grafted samples (sg5&6) are not very good, one was well fused and difficult to spot the graft junction. It may have been an escape (non-grafted)"
02/10/2020,5/10/2020,3,10,G2,Kitaake,SelfGraft,0,1,3,4,0.00,
02/10/2020,5/10/2020,3,10,G3,Kitaake,SelfGraft,1,2,2,4,25.00,
02/10/2020,5/10/2020,3,10,G4,Kitaake,SelfGraft,1,4,0,4,25.00,
02/10/2020,5/10/2020,3,10,G5,Kitaake,SelfGraft,0,0,4,4,0.00,
02/10/2020,5/10/2020,3,10,G6,Kitaake,SelfGraft,0,3,2,5,0.00,
02/10/2020,5/10/2020,3,10,G7,Kitaake,SelfGraft,0,3,2,5,0.00,
02/10/2020,5/10/2020,3,10,G8,Kitaake,SelfGraft,0,5,0,5,0.00,
02/10/2020,5/10/2020,3,10,G9,Kitaake,SelfGraft,0,2,2,4,0.00,
02/10/2020,5/10/2020,3,10,C1,Kitaake,NonGraftControl,5,5,0,5,100.00,
02/10/2020,5/10/2020,3,10,C2,Kitaake,NonGraftControl,5,5,0,5,100.00,
02/10/2020,7/10/2020,5,10,G1,Kitaake,SelfGraft,0,2,3,5,0.00,
02/10/2020,7/10/2020,5,10,G2,Kitaake,SelfGraft,0,4,1,5,0.00,
02/10/2020,7/10/2020,5,10,G3,Kitaake,SelfGraft,0,0,3,3,0.00,
02/10/2020,7/10/2020,5,10,G4,Kitaake,SelfGraft,0,0,2,2,0.00,
02/10/2020,7/10/2020,5,10,G5,Kitaake,SelfGraft,0,1,3,4,0.00,
02/10/2020,7/10/2020,5,10,G6,Kitaake,SelfGraft,2,5,0,5,40.00,
02/10/2020,7/10/2020,5,10,G7,Kitaake,SelfGraft,4,4,0,4,100.00,
02/10/2020,7/10/2020,5,10,G8,Kitaake,SelfGraft,0,1,3,4,0.00,
02/10/2020,7/10/2020,5,10,G9,Kitaake,SelfGraft,0,1,3,4,0.00,
02/10/2020,7/10/2020,5,10,C1,Kitaake,NonGraftControl,5,5,0,5,100.00,
02/10/2020,7/10/2020,5,10,C2,Kitaake,NonGraftControl,5,5,0,5,100.00,
02/10/2020,7/10/2020,5,10,C3,Kitaake,NonGraftControl,5,5,0,5,100.00,
02/10/2020,9/10/2020,7,10,G1,Kitaake,SelfGraft,0,1,3,4,0.00,"Most plates seemed very dry, plants all looked bad"
02/10/2020,9/10/2020,7,10,G2,Kitaake,SelfGraft,0,1,2,3,0.00,
02/10/2020,9/10/2020,7,10,G3,Kitaake,SelfGraft,0,1,4,5,0.00,
02/10/2020,9/10/2020,7,10,G4,Kitaake,SelfGraft,0,1,2,3,0.00,
02/10/2020,9/10/2020,7,10,G5,Kitaake,SelfGraft,0,0,5,5,0.00,
02/10/2020,9/10/2020,7,10,G6,Kitaake,SelfGraft,0,0,3,3,0.00,
02/10/2020,9/10/2020,7,10,G7,Kitaake,SelfGraft,1,3,2,5,20.00,
02/10/2020,9/10/2020,7,10,G8,Kitaake,SelfGraft,0,2,2,4,0.00,
02/10/2020,9/10/2020,7,10,C1,Kitaake,NonGraftControl,5,5,0,5,100.00,
02/10/2020,9/10/2020,7,10,C2,Kitaake,NonGraftControl,5,5,0,5,100.00,
02/10/2020,9/10/2020,7,10,C3,Kitaake,NonGraftControl,5,5,0,5,100.00,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
