DAG,Half,Type,Combo,CellLength,PlantRep
1,Root,Grafted,Root_GraftedCells,21.893,1
1,Root,Grafted,Root_GraftedCells,40.255,2
1,Root,Grafted,Root_GraftedCells,18.064,3
1,Root,Grafted,Root_GraftedCells,44.083,4
1,Root,Grafted,Root_GraftedCells,29.621,5
1,Root,Grafted,Root_GraftedCells,24.106,1
1,Root,Grafted,Root_GraftedCells,22.225,2
1,Root,Grafted,Root_GraftedCells,29.734,3
1,Root,Grafted,Root_GraftedCells,27.951,4
1,Root,Grafted,Root_GraftedCells,18.499,5
1,Root,Grafted,Root_GraftedCells,25.654,1
1,Root,Grafted,Root_GraftedCells,45.839,2
1,Root,Grafted,Root_GraftedCells,41.218,3
1,Root,Grafted,Root_GraftedCells,25.041,4
1,Root,Grafted,Root_GraftedCells,21.149,5
1,Root,Grafted,Root_GraftedCells,25.99,1
1,Root,Grafted,Root_GraftedCells,22.179,2
1,Root,Grafted,Root_GraftedCells,32.068,3
1,Root,Grafted,Root_GraftedCells,31.933,4
1,Root,Grafted,Root_GraftedCells,21.025,5
1,Root,Grafted,Root_GraftedCells,14.069,1
1,Root,Grafted,Root_GraftedCells,39.57,2
1,Root,Grafted,Root_GraftedCells,24.917,3
1,Root,Grafted,Root_GraftedCells,32.022,4
1,Root,Grafted,Root_GraftedCells,19.384,5
1,Root,Grafted,Root_GraftedCells,20.631,1
1,Root,Grafted,Root_GraftedCells,22.826,2
1,Root,Grafted,Root_GraftedCells,33.902,3
1,Root,Grafted,Root_GraftedCells,37.956,4
1,Root,Grafted,Root_GraftedCells,28.545,5
1,Root,Grafted,Root_GraftedCells,34.019,1
1,Root,Grafted,Root_GraftedCells,15.132,2
1,Root,Grafted,Root_GraftedCells,24.997,3
1,Root,Grafted,Root_GraftedCells,23.972,4
1,Root,Grafted,Root_GraftedCells,29.032,5
1,Root,Grafted,Root_GraftedCells,25.721,1
1,Root,Grafted,Root_GraftedCells,28.283,2
1,Root,Grafted,Root_GraftedCells,32.905,3
1,Root,Grafted,Root_GraftedCells,37.587,4
1,Root,Grafted,Root_GraftedCells,20.583,5
1,Root,Grafted,Root_GraftedCells,23.353,1
1,Root,Grafted,Root_GraftedCells,16.225,2
1,Root,Grafted,Root_GraftedCells,27.113,3
1,Root,Grafted,Root_GraftedCells,40.9,4
1,Root,Grafted,Root_GraftedCells,25.571,5
1,Root,Grafted,Root_GraftedCells,34.616,1
1,Root,Grafted,Root_GraftedCells,22.728,2
1,Root,Grafted,Root_GraftedCells,16.752,3
1,Root,Grafted,Root_GraftedCells,27.894,4
1,Root,Grafted,Root_GraftedCells,31.909,5
1,Root,Nongrafted,Root_NonGraftedCells,36.272,1
1,Root,Nongrafted,Root_NonGraftedCells,25.021,1
1,Root,Nongrafted,Root_NonGraftedCells,33.891,1
1,Root,Nongrafted,Root_NonGraftedCells,27.122,1
1,Root,Nongrafted,Root_NonGraftedCells,27.154,1
1,Root,Nongrafted,Root_NonGraftedCells,30.448,1
1,Root,Nongrafted,Root_NonGraftedCells,38.142,1
1,Root,Nongrafted,Root_NonGraftedCells,34.702,1
1,Root,Nongrafted,Root_NonGraftedCells,33.482,1
1,Root,Nongrafted,Root_NonGraftedCells,53.721,1
1,Root,Nongrafted,Root_NonGraftedCells,20.936,2
1,Root,Nongrafted,Root_NonGraftedCells,56.067,2
1,Root,Nongrafted,Root_NonGraftedCells,36.115,2
1,Root,Nongrafted,Root_NonGraftedCells,30.74,2
1,Root,Nongrafted,Root_NonGraftedCells,33.026,2
1,Root,Nongrafted,Root_NonGraftedCells,41.302,2
1,Root,Nongrafted,Root_NonGraftedCells,33.291,2
1,Root,Nongrafted,Root_NonGraftedCells,26.19,2
1,Root,Nongrafted,Root_NonGraftedCells,42.127,2
1,Root,Nongrafted,Root_NonGraftedCells,34.93,2
1,Root,Nongrafted,Root_NonGraftedCells,48.674,3
1,Root,Nongrafted,Root_NonGraftedCells,46.163,3
1,Root,Nongrafted,Root_NonGraftedCells,35.676,3
1,Root,Nongrafted,Root_NonGraftedCells,22.728,3
1,Root,Nongrafted,Root_NonGraftedCells,16.588,3
1,Root,Nongrafted,Root_NonGraftedCells,21.859,3
1,Root,Nongrafted,Root_NonGraftedCells,28.753,3
1,Root,Nongrafted,Root_NonGraftedCells,41.182,3
1,Root,Nongrafted,Root_NonGraftedCells,39.908,3
1,Root,Nongrafted,Root_NonGraftedCells,45.48,3
1,Root,Nongrafted,Root_NonGraftedCells,57.79,4
1,Root,Nongrafted,Root_NonGraftedCells,32.392,4
1,Root,Nongrafted,Root_NonGraftedCells,37.429,4
1,Root,Nongrafted,Root_NonGraftedCells,23.628,4
1,Root,Nongrafted,Root_NonGraftedCells,30.403,4
1,Root,Nongrafted,Root_NonGraftedCells,27.012,4
1,Root,Nongrafted,Root_NonGraftedCells,31.459,4
1,Root,Nongrafted,Root_NonGraftedCells,34.4,4
