Days after grafting,Tissue,Type,Name,Sample,# stained,# fluo,% fluo,n_plants
3,Phloem,Control,Control Phloem,C1,9,9,100,19
3,Phloem,Control,Control Phloem,C1,5,5,100,19
3,Phloem,Control,Control Phloem,C2,5,5,100,19
3,Phloem,Graft,Graft Phloem,G5,8,0,0,20
3,Phloem,Graft,Graft Phloem,G4,7,0,0,20
3,Phloem,Graft,Graft Phloem,G3,5,0,0,20
4,Phloem,Control,Control Phloem,C1,9,8,89,29
4,Phloem,Control,Control Phloem,C1,10,10,100,29
4,Phloem,Control,Control Phloem,C1,5,5,100,29
4,Phloem,Control,Control Phloem,C2,5,5,100,29
4,Xylem,Control,Control Xylem,C2,9,7,78,26
4,Xylem,Control,Control Xylem,C2,10,10,100,26
4,Xylem,Control,Control Xylem,C3,4,4,100,26
4,Xylem,Control,Control Xylem,C4,3,3,100,26
4,Phloem,Graft,Graft Phloem,G1,4,0,0,8
4,Phloem,Graft,Graft Phloem,G2,1,0,0,8
4,Phloem,Graft,Graft Phloem,G3,3,1,33,8
4,Xylem,Graft,Graft Xylem,G4,3,0,0,9
4,Xylem,Graft,Graft Xylem,G6,2,0,0,9
4,Xylem,Graft,Graft Xylem,G5,4,1,25,9
5,Phloem,Control,Control Phloem,C1,5,3,60,30
5,Phloem,Control,Control Phloem,C4,10,8,80,30
5,Phloem,Control,Control Phloem,C1,10,10,100,30
5,Phloem,Control,Control Phloem,C2,5,5,100,30
5,Xylem,Control,Control Xylem,C3,9,7,78,28
5,Xylem,Control,Control Xylem,C2,10,8,80,28
5,Xylem,Control,Control Xylem,C3,5,5,100,28
5,Xylem,Control,Control Xylem,C4,4,4,100,28
5,Phloem,Graft,Graft Phloem,G2,3,1,33,14
5,Phloem,Graft,Graft Phloem,G1,6,3,50,14
5,Phloem,Graft,Graft Phloem,GregsPh2,5,2,40,14
5,Xylem,Graft,Graft Xylem,G4,3,0,0,11
5,Xylem,Graft,Graft Xylem,G5,3,0,0,11
5,Xylem,Graft,Graft Xylem,G6,5,0,0,11
6,Phloem,Control,Control Phloem,C1,4,3,75,38
6,Phloem,Control,Control Phloem,C3,10,9,90,38
6,Phloem,Control,Control Phloem,C5,10,10,100,38
6,Phloem,Control,Control Phloem,C1,10,10,100,38
6,Phloem,Control,Control Phloem,C2,4,4,100,38
6,Xylem,Control,Control Xylem,C4,10,8,80,29
6,Xylem,Control,Control Xylem,C4,5,4,80,29
6,Xylem,Control,Control Xylem,C2,10,9,90,29
6,Xylem,Control,Control Xylem,C3,4,4,100,29
6,Phloem,Graft,Graft Phloem,G6,6,1,17,45
6,Phloem,Graft,Graft Phloem,G2,8,2,25,45
6,Phloem,Graft,Graft Phloem,G11,11,4,36,45
6,Phloem,Graft,Graft Phloem,G1,7,3,43,45
6,Phloem,Graft,Graft Phloem,G12,7,5,71,45
6,Phloem,Graft,Graft Phloem,G10,6,5,83,45
6,Xylem,Graft,Graft Xylem,G9,3,0,0,31
6,Xylem,Graft,Graft Xylem,G5,6,1,17,31
6,Xylem,Graft,Graft Xylem,G3,6,2,33,31
6,Xylem,Graft,Graft Xylem,G8,5,2,40,31
6,Xylem,Graft,Graft Xylem,G4,4,2,50,31
6,Xylem,Graft,Graft Xylem,G7,7,4,57,31
7,Phloem,Control,Control Phloem,C2,10,9,90,18
7,Phloem,Control,Control Phloem,C1,4,4,100,18
7,Phloem,Control,Control Phloem,C2,4,4,100,18
7,Xylem,Control,Control Xylem,C1,10,9,90,18
7,Xylem,Control,Control Xylem,C3,4,4,100,18
7,Xylem,Control,Control Xylem,C4,4,4,100,18
7,Phloem,Graft,Graft Phloem,G3,7,4,57,20
7,Phloem,Graft,Graft Phloem,G6,8,6,75,20
7,Phloem,Graft,Graft Phloem,G5,5,4,80,20
7,Xylem,Graft,Graft Xylem,G4,7,3,43,30
7,Xylem,Graft,Graft Xylem,G1,7,3,43,30
7,Xylem,Graft,Graft Xylem,G2,8,4,50,30
7,Xylem,Graft,Graft Xylem,GregsXy2,8,5,63,30
10,Phloem,Control,Control Phloem,C1,4,3,75,14
10,Phloem,Control,Control Phloem,C1,7,7,100,14
10,Phloem,Control,Control Phloem,C2,3,3,100,14
10,Xylem,Control,Control Xylem,C4,3,2,67,13
10,Xylem,Control,Control Xylem,C2,7,7,100,13
10,Xylem,Control,Control Xylem,C3,3,3,100,13
10,Phloem,Graft,Graft Phloem,G4,2,1,50,12
10,Phloem,Graft,Graft Phloem,G3,3,2,67,12
10,Phloem,Graft,Graft Phloem,GregsPh1,7,5,71,12
10,Xylem,Graft,Graft Xylem,G6,2,1,50,11
10,Xylem,Graft,Graft Xylem,G5,4,3,75,11
10,Xylem,Graft,Graft Xylem,GregsXy1,5,4,80,11
