DaysAfterGerm,Type,Sample,Attached,NotAttached,Total,AttachmentRate
1,Control,C1,9,0,9,100
1,Control,C2,5,0,5,100
1,Control,C3,15,0,15,100
2,Control,C4,8,0,8,100
2,Control,C5,5,0,5,100
2,Control,C6,17,0,17,100
3,Control,C7,4,0,4,100
3,Control,C8,4,0,4,100
3,Control,C9,17,0,17,100
4,Control,C10,9,0,9,100
4,Control,C11,5,0,5,100
4,Control,C12,9,0,9,100
5,Control,C13,5,0,5,100
5,Control,C14,3,0,3,100
5,Control,C15,13,0,13,100
6,Control,C16,9,0,9,100
6,Control,C17,11,0,11,100
7,Control,C18,15,0,15,100
8,Control,C19,12,0,12,100
9,Control,C20,11,0,11,100
10,Control,C21,4,0,4,100
1,Graft,G1,6,4,10,60
1,Graft,G2,7,9,16,43.75
1,Graft,G3,5,4,9,55.55555556
1,Graft,G4,6,4,10,60
1,Graft,G5,6,5,11,54.54545455
1,Graft,G6,5,4,9,55.55555556
1,Graft,G7,8,4,12,66.66666667
2,Graft,G8,5,7,12,41.66666667
2,Graft,G9,6,3,9,66.66666667
2,Graft,G10,4,4,8,50
2,Graft,G11,7,9,16,43.75
2,Graft,G12,11,7,18,61.11111111
2,Graft,G13,8,11,19,42.10526316
2,Graft,G14,6,7,13,46.15384615
3,Graft,G15,3,8,11,27.27272727
3,Graft,G16,4,15,19,21.05263158
3,Graft,G17,5,12,17,29.41176471
3,Graft,G18,4,10,14,28.57142857
3,Graft,G19,5,6,11,45.45454545
3,Graft,G20,8,7,15,53.33333333
3,Graft,G21,8,10,18,44.44444444
4,Graft,G22,8,7,15,53.33333333
4,Graft,G23,4,7,11,36.36363636
4,Graft,G24,5,13,18,27.77777778
4,Graft,G25,2,5,7,28.57142857
4,Graft,G26,5,13,18,27.77777778
4,Graft,G27,6,8,14,42.85714286
4,Graft,G28,4,12,16,25
5,Graft,G29,3,7,10,30
5,Graft,G30,6,13,19,31.57894737
5,Graft,G31,4,11,15,26.66666667
5,Graft,G32,3,8,11,27.27272727
5,Graft,G33,2,9,11,18.18181818
5,Graft,G34,2,4,6,33.33333333
5,Graft,G35,4,4,8,50
6,Graft,G36,3,12,15,20
6,Graft,G37,4,15,19,21.05263158
6,Graft,G38,4,13,17,23.52941176
6,Graft,G39,4,14,18,22.22222222
6,Graft,G40,5,13,18,27.77777778
6,Graft,G41,7,14,21,33.33333333
6,Graft,G42,4,20,24,16.66666667
7,Graft,G43,3,14,17,17.64705882
7,Graft,G44,2,15,17,11.76470588
7,Graft,G45,4,11,15,26.66666667
7,Graft,G46,5,14,19,26.31578947
7,Graft,G47,2,12,14,14.28571429
7,Graft,G48,7,11,18,38.88888889
7,Graft,G49,3,12,15,20
8,Graft,G50,2,13,15,13.33333333
8,Graft,G51,1,9,10,10
8,Graft,G52,0,15,15,0
8,Graft,G53,3,8,11,27.27272727
8,Graft,G54,1,11,12,8.333333333
8,Graft,G55,1,14,15,6.666666667
9,Graft,G56,2,15,17,11.76470588
9,Graft,G57,1,11,12,8.333333333
9,Graft,G58,2,10,12,16.66666667
9,Graft,G59,1,15,16,6.25
9,Graft,G60,2,16,18,11.11111111
9,Graft,G61,1,7,8,12.5
9,Graft,G62,1,17,18,5.555555556
10,Graft,G63,0,3,3,0
10,Graft,G64,3,7,10,30
10,Graft,G65,0,4,4,0
10,Graft,G66,0,6,6,0
10,Graft,G67,2,8,10,20
10,Graft,G68,0,4,4,0
10,Graft,G69,0,10,10,0
