Order	Genus	Species	NCBI_ID
Acorales	Acorus	gramineus	FJ874942
Acorales	Acorus	calamus	KC004047
Alismatales	Zostera	marina	KT272050
Alismatales	Posidonia	oceanica	GQ927725
Alismatales	Potamogeton	perfoliatus	DQ840290
Alismatales	Alisma	plantago-aquatica	DQ339085
Alismatales	Elodea	canadensis	HQ456422
Alismatales	Wolffia	globosa	KJ400955
Alismatales	Symplocarpus	foetidus	FJ874946
Alismatales	Thalassia	hemprichii	KM609936
Alismatales	Triglochin	maritima	HQ456455
Arecales	Nypa	fruticans	MH244014
Arecales	Sabal	domingensis	EF688473
Arecales	Phoenix	dactylifera	MK692105
Arecales	Acoelorraphe	wrightii	MK691917
Arecales	Areca	catechu	AB271408
Arecales	Elaeis	guineensis	HQ265520
Arecales	Elaeis	oleifera	HQ265521
Arecales	Acrocomia	aculeata	HQ265478
Asparagales	Allium	cepa	FJ664287
Asparagales	Allium	schoenoprasum	KU145490
Asparagales	Allium	ampeloprasum	FJ664340
Aspargales	Cypripedium	calceolus	JN018071
Aspargales	Iris	domestica	KP058312
Aspargales	Beaucarnea	recurvata	KC798436
Asparagales	Agave	tequilana	MT083869
Aspargales	Asparagus	filicinus	HM357928
Aspargales	Phormium	tenax	AY177605
Aspargales	Vanilla	planifolia	AF391786
Aspargales	Goodyera	procera	KY966601
Aspargales	Anathallis	obovata	KF747797
Outgroup	Illicium	anisatum	AF163729
Outgroup	Kadsura	coccinea	AF163716
Outgroup	Schisandra	chinensis	AF163710
Chloranthales	Sarcandra	glabra	MH566963
Chloranthales	Chloranthus	erectus	MH270480
Chloranthales	Chloranthus	spicatus	AF280411
Chloranthales	Chloranthus	japonicus	KP317593
Commelinales	Monochoria	vaginalis	MN718286
Commelinales	Commelina	comminis	KY218780
Commelinales	Streptolirion	volubile	MH808352
Commelinales	Callisia	graminea	MG639994
Commelinales	Callisia	ornata	MG640004
Commelinales	Hanguana	malayana	KF933719
Commelinales	Eichhornia	crassipes	MH050286
Dioscoreales	Trichopus	sempervirens	JN850576
Dioscoreales	Aletris	spicata	MH703386
Dioscoreales	Aletris	glabra	MH703262
Dioscoreales	Narthecium	californicum	MF964076
Dioscoreales	Dioscorea	alata	KJ956698
Dioscoreales	Tacca	leontopetaloides	JN850570
Eudicots	Aconitum	angustius	KY417262
Eudicots	Dillenia	indica	JX852687
Eudicots	Vitis	vinifera	KF544886
Eudicots	Dioncophyllum	thollonii	HM204878
Liliales	Amana	anhuiensis	MN173152
Liliales	Lilium	brownii	EU303289
Liliales	Cardiocrinum	giganteum	EU303288
Liliales	Paris	daliensis	AY192530
Liliales	Philesia	magellanica	KC511482
Liliales	Lapageria	rosea	KC511481
Liliales	Rhipogonum	scandens	KC511483
Liliales	Luzuriaga	radicans	JQ405067
Liliales	Bomarea	multiflora	EU159949
Liliales	Gloriosa	superba	KC899584
Magnoliids	Drimys	granadensis	FJ539235
Magnoliids	Pseudowintera	colorata	AY004125
Magnoliids	Tasmannia	lanceolata	AY004128
Pandanales	Stemona	tuberosa	MH813189
Pandanales	Stemona	phyllantha	AB429261
Pandanales	Pandanus	tectorius	EU816709
Pandanales	Xerophyta	retinervis	JN016988
Pandanales	Cyclanthus	bipartitus	JN016949
Poales	Triticum	aestivum	DQ981410
Poales	Triticum	durum	MH618756
Poales	Secale	cereale	KP296112
Poales	Avena	sativa	KX872934
Poales	Phyllostachys	edulis	MH428858
Poales	Oryza	sativa	MT742279
Poales	Zea	mays	U04796
Poales	Sorghum	bicolor	MH762138
Poales	Pennisetum	glaucum	MN781147
Zingiberales	Amomum	subulatum	KY438107
Zingiberales	Roscoea	humeana	KY210332
Zingiberales	Zingiber	officinale	KR816715
Zingiberales	Zingiber	spectabile	AF414499
Zingiberales	Musa	acuminata	KT696474
Zingiberales	Musa	balbisiana	KT696445
Zingiberales	Heliconia	collinsiana	KY214984
Zingiberales	Ravenala	madagascariensis	FJ428107
Zingiberales	Canna	indica	FJ939544
Zingiberales	Calathea	rufibarba	EU605930
Zingiberales	Costus	laevis	AY972922
