Order	Genus	Species	NCBI_ID
Outgroup	Illicium	anisatum	NC_034703
Outgroup	Kadsura	coccinea	NC_040116
Outgroup	Schisandra	chinensis	NC_034908
Outgroup	Nuphar	pumila	NC_037844
Outgroup	Cabomba	caroliniana	NC_031505
Outgroup	Victoria	cruziana	NC_035632
Acorales	Acorus	gramineus	NC_026299
Acorales	Acorus	calamus	NC_007407
Alismatales	Arisaema	tortuosum	AF497109
Alismatales	Zostera	marina	NC_036014
Alismatales	Wolffia	globosa	NC_048463
Alismatales	Thalassia	hemprichii	NC_043774
Alismatales	Symplocarpus	foetidus	L10247
Alismatales	Alisma	plantago-aquatica	NC_044108
Alismatales	Elodea	canadensis	NC_018541
Alismatales	Triglochin	maritima	HQ901578
Alismatales	Posidonia	oceanica	U80719
Alismatales	Potamogeton	perfoliatus	NC_029814
Arecales	Phoenix	dactylifera	NC_013991
Arecales	Elaeis	guineensis	NC_017602
Arecales	Elaeis	oleifera	AY012509
Arecales	Areca	catechu	NC_050163
Arecales	Nypa	fruticans	NC_029958
Poales	Ananas	comosus	NC_026220
Poales	Sparganium	stoloniferum	NC_044634
Poales	Typha	latifolia	NC_013823
Arecales	Acoelorraphe	wrightii	NC_029973
Arecales	Sabal	domingensis	NC_026444
Arecales	Acrocomia	aculeata	NC_037084
Asparagales	Allium	cepa	NC_024813
Asparagales	Allium	ampeloprasum	NC_044666
Asparagales	Allium	schoenoprasum	KF602141
Aspargales	Vanilla	planifolia	NC_026778
Aspargales	Asparagus	filicinus	NC_046783
Aspargales	Iris	domestica	NC_050833
Aspargales	Goodyera	procera	NC_029363
Aspargales	Cypripedium	calceolus	NC_045400
Aspargales	Anathallis	obovata	NC_043905
Chloranthales	Chloranthus	erectus	NC_039627
Chloranthales	Sarcandra	glabra	NC_039621
Chloranthales	Chloranthus	japonicus	NC_026565
Chloranthales	Chloranthus	spicatus	NC_009598
Commelinales	Pollia	thyrsiflora	KX527192
Commelinales	Commelina	communis	MK863371
Commelinales	Pollia	japonica	LC413434
Commelinales	Streptolirion	volubile	MH713965
Commelinales	Callisia	graminea	KJ773330
Commelinales	Callisia	ornata	KX397720
Commelinales	Hanguana	malayana	NC_029962
Commelinales	Philydrum	lanuginosum	NC_039424
Commelinales	Eichhornia	crassipes	EF422991
Commelinales	Monochoria	vaginalis	U41591
Dioscoreales	Dioscorea	elephantipes	NC_009601
Dioscoreales	Dioscorea	alata	NC_039707
Dioscoreales	Aletris	spicata	NC_033411
Dioscoreales	Tacca	leontopetaloides	NC_036658
Dioscoreales	Trichopus	sempervirens	AY298818
Dioscoreales	Aletris	glabra	JN417507
Dioscoreales	Narthecium	californicum	MF963094
Eudicots	Aconitum	angustius	NC_036357
Eudicots	Vitis	vinifera	NC_007957
Eudicots	Dioncophyllum	thollonii	NC_041276
Eudicots	Dillenia	indica	NC_042740
Liliales	Gloriosa	superba	NC_030065
Liliales	Luzuriaga	radicans	NC_025333
Liliales	Campynema	lineare	NC_026785
Liliales	Amana	anhuiensis	NC_034706
Liliales	Philesia	magellanica	NC_049020
Liliales	Rhipogonum	scandens	NC_049021
Liliales	Lapageria	rosea	NC_049017
Liliales	Paris	daliensis	NC_046454
Liliales	Lilium	brownii	NC_035588
Magnoliids	Drimys	granadensis	NC_008456
Magnoliids	Pseudowintera	colorata	NC_050985
Magnoliids	Tasmannia	lanceolata	NC_050986
Pandanales	Carludovica	palmata	NC_026786
Pandanales	Pandanus	tectorius	NC_042747
Pandanales	Croomia	heterosepala	NC_039673
Pandanales	Stemona	japonica	NC_039675
Pandanales	Xerophyta	viscosa	NC_043880
Pandanales	Xerophyta	retinervis	KT204817
Pandanales	Stemona	tuberosa	KT204709
Pandanales	Cyclanthus	bipartitus	JX032702
Petrosaviales	Japonolirion	osense	NC_036154
Petrosaviales	Petrosavia	stellaris	NC_023356
Petrosaviales	Petrosavia	sakuraii	AB088839
Poales	Triticum	aestivum	MG958556
Poales	Triticum	durum	MK253668
Poales	Oryza	sativa	NC_031333
Poales	Zea	mays	MK348606
Poales	Pennisetum	glaucum	MN180104
Poales	Sorghum	bicolor	MF114369
Poales	Secale	cereale	KC912691
Poales	Avena	sativa	MG687313
Poales	Phyllostachys	edulis	KP684145
Poales	Puya	raimondii	AF206814
Poales	Joinvillea	plicata	DQ307447
Poales	Flagellaria	indica	L12678
Poales	Eriocaulon	buergerianum	NC_042211
Poales	Carex	neurocarpa	NC_036037
Poales	Spathanthus	unilateralis	MF786252
Poales	Mayaca	fluviatilis	AF036885
Zingiberales	Musa	acuminata	HF677508
Zingiberales	Musa	balbisiana	NC_028439
Zingiberales	Amomum	subulatum	KF304140
Zingiberales	Zingiber	officinale	NC_044775
Zingiberales	Zingiber	spectabile	NC_020363
Zingiberales	Calathea	rufibarba	AY656115
Zingiberales	Heliconia	collinsiana	NC_020362
Zingiberales	Ravenala	madagascariensis	NC_022927
Zingiberales	Roscoea	humeana	NC_046582
Outgroup	Amborella	trichopoda	NC_005086
Poales	Cyperus	papyrus	AM999811
Aspargales	Dracaena	draco	NC_048492
Aspargales	Phormium	tenax	HQ182444
Aspargales	Yucca	brevifolia	NC_032711
Poales	Leptaspis	banksii	NC_033863
Poales	Anomochloa	marantoidea	NC_014062
Aspargales	Beaucarnea	recurvata	AB029846
Zingiberales	Canna	indica	MN832865
Zingiberales	Costus	laevis	JX978624
Liliales	Cardiocrinum	giganteum	NC_033896
Liliales	Colchicum	albanense	EU236977
