Combo,Type,Date Grafted,SCION,ROOTSTOCK,No.Fused,No.GraftAttempts,PercentFused
Interspecific,Rice-PearlMillet,12-Jul-17,PearlMillet,Rice,6,16,37.50
Interspecific,Rice-PearlMillet,02-Jun-17,PearlMillet,Rice,5,11,45.45
Interspecific,Rice-PearlMillet,16-Nov-18,PearlMillet,Rice,9,17,52.94
Interspecific,Rice-PearlMillet,05-Sep-17,Rice,PearlMillet,6,16,37.50
Interspecific,Rice-PearlMillet,30-May-19,Rice,PearlMillet,4,11,36.36
Interspecific,Rice-PearlMillet,12-Jul-17,Rice,PearlMillet,3,10,30.00
Interspecific,Rice-PearlMillet,27-Oct-17,Rice,PearlMillet,3,13,23.08
Interspecific,Rice-PearlMillet,02-Jun-17,Rice,PearlMillet,3,9,33.33
Interspecific,Rice-Sorghum,22-May-19,Rice,Sorghum,3,10,30.00
Interspecific,Rice-Sorghum,13-Dec-19,Rice,Sorghum,2,8,25.00
Interspecific,Rice-Sorghum,13-Dec-19,Sorghum,Rice,1,8,12.50
Interspecific,Sorghum-Rye,13-Dec-19,Rye,Sorghum,4,13,30.77
Interspecific,Sorghum-Rye,13-Dec-19,Sorghum,Rye,2,11,18.18
Interspecific,Wheat-Oat,22-Oct-19,Oat,Wheat,10,28,35.71
Interspecific,Wheat-Oat,11-Dec-19,Oat,Wheat,12,44,27.27
Interspecific,Wheat-Oat,01-Aug-19,Oat,Wheat,4,15,26.67
Interspecific,Wheat-Oat,21-Aug-19,Oat,Wheat,15,29,51.72
Interspecific,Wheat-Oat,22-Oct-19,Wheat,Oat,13,44,29.55
Interspecific,Wheat-Oat,11-Dec-19,Wheat,Oat,18,69,26.09
Interspecific,Wheat-Oat,01-Aug-19,Wheat,Oat,4,8,50.00
Interspecific,Wheat-Oat,01-Aug-19,Wheat,Oat,2,16,12.50
Interspecific,Wheat-Oat,21-Aug-19,Wheat,Oat,16,36,44.44
Interspecific,Wheat-Oat,10-Jan-19,Wheat,Oat,3,7,42.86
Interspecific,Wheat-Oat,10-Jan-19,Wheat,Oat,3,14,21.43
Interspecific,Wheat-PearlMillet,15-Sep-15,PearlMillet,Wheat,3,7,42.86
Interspecific,Wheat-PearlMillet,01-Oct-15,PearlMillet,Wheat,9,27,33.33
Interspecific,Wheat-PearlMillet,11-Nov-15,PearlMillet,Wheat,5,21,23.81
