number,Label,Plant,Area_blue,Mean_blue,Mode_blue,Min_blue,Max_blue,IntDen_blue,RawIntDen_blue,Area_root,Mean_root,Mode_root,Min_root,Max_root,IntDen_root,RawIntDen_root,RelativeInDen
1,Project_oatroot-_ch00.tif:OatSelfGraft_Root1,oat_selfgraft,20.247,7.403,1,0,64,149.896,777060,20.247,15.335,3,0,141,310.49,1609581,0.482772392
3,Project_oatroot-_ch00.tif:OatSelfGraft_Root2,oat_selfgraft,27.012,6.135,1,0,81,165.726,859126,27.012,12.894,3,0,84,348.301,1805594,0.475812587
5,Project_oatroot-7_ch01.tif:oat7,oat_selfgraft,51.16,12.763,1,0,84,652.942,3384852,51.16,23.068,3,1,159,1180.191,6118112,0.553251126
7,Project_oatroot-8_ch01.tif:oat8,oatroot_wheatscion,25.604,7.129,1,0,64,182.525,946209,25.604,18.895,12,2,72,483.781,2507919,0.377288484
9,Project_oatroot-9_ch01.tif:oat9,oatroot_wheatscion,28.006,6.169,1,0,171,172.759,895585,28.006,17.079,5,0,87,478.317,2479596,0.361180974
11,Scan 004_oatroot-5_ch01.tif:oat5,oat_selfgraft,10.338,33.882,3,0,218,350.275,1815827,10.338,81.99,32,20,255,847.611,4394013,0.41324971
13,Scan 005_oatroot-4_ch01.tif:oat4,oat_selfgraft,8.179,16.668,2,0,218,136.334,706754,8.179,48.647,32,18,172,397.9,2062715,0.342633828
15,Scan 006_oatroot-3_ch01.tif:oat3,oat_selfgraft,49.623,21.873,2,0,186,1085.401,5626720,49.623,52.715,18,4,255,2615.835,13560489,0.41493481
17,Project_wheatroot-6_ch01.tif:wheat6,wheat_selfgraft,28.101,0.612,0,0,5,17.197,89149,28.101,27.017,10,3,137,759.204,3935714,0.022651356
19,Project_wheatroot-7_ch01.tif:wheat7,wheat_selfgraft,69.849,1.183,0,0,8,82.657,428493,69.849,24.364,8,1,89,1701.798,8822121,0.048570394
21,Project_wheatroot-8_ch01.tif:wheat8,wheat_selfgraft,92.321,0.434,0,0,4,40.039,207564,92.321,38.671,9,2,137,3570.166,18507740,0.011214885
23,Scan 013_wheatroot-0_ch01.tif:wheat0,wheat_selfgraft,67.477,0.528,0,0,5,35.613,184616,67.477,41.591,11,0,210,2806.449,14548633,0.012689701
25,Scan 011_wheatroot-4_ch01.tif:wheat4,wheat_selfgraft,44.336,0.507,0,0,5,22.471,116491,44.336,76.407,12,1,255,3387.558,17561099,0.006633392
27,Scan 012_wheatroot-5_ch01.tif:wheat5,wheat_selfgraft,49.045,0.626,0,0,8,30.689,159093,49.045,55.607,16,3,255,2727.234,14137979,0.011252793
29,Project_oatroot-wheatscion-2_ch01.tif:oatRootwheatScion2,oatroot_wheatscion,19.199,17.045,0,0,126,327.257,1696500,19.199,27.244,1,0,116,523.056,2711522,0.625663409
31,Project_oatroot-wheatscion-3_ch01.tif:oatRootwheatScion3,oatroot_wheatscion,58.855,13.92,0,0,114,819.265,4247070,58.855,27.857,1,0,164,1639.514,8499240,0.499699911
33,Scan 017_oatroot-wheatscion-1_ch01.tif:oatRootwheatScion1,oatroot_wheatscion,20.753,15.861,0,0,218,329.174,1706440,20.753,24.547,0,0,131,509.445,2640963,0.646142371
35,Scan 018_oatroot-wheatscion-4_ch01.tif:oatRootwheatScion4,oatroot_wheatscion,19.999,13.898,0,0,73,277.95,1440891,19.999,51.035,1,0,255,1020.658,5291091,0.272324324
