gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	tf_family
Os03g0828600	-	3	34805711	34807600	+	1890	protein_coding	Similar to ATCHX19 (CATION/H+ EXCHANGER 19); monovalent cation:proton antiporter/ sodium:hydrogen antiporter	Na_H_Exchanger
Os06g0114650	-	6	839419	841385	+	1070	protein_coding	Similar to predicted protein	SKI
Os03g0100040	-	3	19107	20472	+	1366	protein_coding	Similar to Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthetase 1)	-
Os01g0770800	COPPER TRANSPORTER 2	1	32526290	32526923	+	634	protein_coding	Ctr copper transporter family protein	-
Os09g0527500	-	9	20629717	20633528	+	1197	protein_coding	Similar to MEG5	RRM_1
Os08g0118500	SMALL AUXIN-UP RNA 31	8	1039566	1040187	+	622	protein_coding	Similar to Auxin-induced SAUR-like protein	Auxin_inducible
Os08g0483900	basic helix-loop-helix protein 047	8	23894602	23896537	-	1413	protein_coding	Helix-loop-helix DNA-binding domain containing protein	HLH
Os05g0591550	-	5	29466185	29466905	+	669	protein_coding	Conserved hypothetical protein	-
Os12g0154900	GERMIN-LIKE PROTEIN 12-3	12	2696407	2697214	-	690	protein_coding	Germin-like protein 12-3, Disease resistanc	-
Os04g0296301	-	4	13084292	13084564	-	273	protein_coding	Conserved hypothetical protein	-
Os01g0685300	-	1	28246607	28248021	+	1415	protein_coding	Conserved hypothetical protein	-
Os06g0234633	-	6	7013989	7018602	+	774	protein_coding	Similar to Inositol phosphate kinase	-
Os08g0508800	lipoxygenase Lox2:Os:1, lipoxygenase 9, lipoxygenase 8, herbivore-induced type 2 13-lipoxygenase, RLL2 lipoxygenase	8	25216460	25224078	-	3152	protein_coding	Lipoxygenase, chloroplast precursor (EC 1.13.11.12)	Lipoxygenase
Os04g0558700	-	4	27994902	27995820	-	919	protein_coding	Conserved hypothetical protein	-
Os02g0721100	-	2	29919262	29920338	-	964	protein_coding	Similar to E2 ubiquitin-conjugating enzyme UbcH5B (Fragment)	UQ_con
Os02g0181700	-	2	4558797	4559941	+	1057	protein_coding	Conserved hypothetical protein	-
Os12g0113001	-	12	660557	661163	-	600	protein_coding	Conserved hypothetical protein	-
Os02g0464550	-	2	15603245	15606096	-	714	protein_coding	Hypothetical protein	-
Os11g0593900	-	11	22618819	22624351	-	2212	protein_coding	Hypothetical conserved gene	-
Os05g0145100	-	5	2605446	2606264	-	819	protein_coding	Conserved hypothetical protein	-
Os02g0749800	-	2	31521135	31523064	+	1878	protein_coding	Mitochodrial transcription termination factor-related family protein	-
Os02g0630650	-	2	25211740	25213934	-	2195	protein_coding	Conserved hypothetical protein	-
Os08g0463100	-	8	22721156	22721757	+	602	protein_coding	Conserved hypothetical protein	-
Os08g0480400	-	8	23730714	23732293	-	1089	protein_coding	Similar to cupin, RmlC-type	-
Os02g0217900	HSP19.0	2	6587377	6588245	-	869	protein_coding	Similar to Cytosolic class II small heat shock protein 4 (Fragment)	-
Os07g0472100	-	7	16944094	16946832	-	2739	protein_coding	Hypothetical conserved gene	PPR
Os08g0211750	-	8	6553984	6585906	+	632	protein_coding	Conserved hypothetical protein	-
Os01g0743100	-	1	31047493	31049443	+	1315	protein_coding	IQ motif, EF-hand binding site domain containing protein	-
Os07g0622400	-	7	25742767	25743805	-	1039	protein_coding	Hypothetical protein	UDPGT
Os08g0180950	-	8	4718736	4718969	-	234	protein_coding	Hypothetical conserved gene	-
Os11g0164900	-	11	3152475	3154921	-	600	protein_coding	Conserved hypothetical protein	-
Os02g0729350	-	2	30357071	30359162	-	1386	protein_coding	Hypothetical conserved gene	-
Os05g0349400	-	5	16501902	16502472	+	571	protein_coding	Conserved hypothetical protein	-
Os03g0399000	PECTIN METHYLESTERASE 12	3	16151375	16153554	+	2091	protein_coding	Pectin lyase fold domain containing protein	-
Os06g0272700	trichome birefringence-like 64	6	9196450	9197709	-	1260	protein_coding	Protein of unknown function DUF231, plant domain containing protein	-
Os04g0351800	-	4	16795191	16795442	-	252	protein_coding	Conserved hypothetical protein	-
Os01g0389200	-	1	16415043	16416009	+	967	protein_coding	Protein of unknown function DUF679 family protein	-
Os12g0544600	-	12	21964712	21970027	-	2003	protein_coding	Conserved hypothetical protein	-
Os09g0441900	DENSE AND ERECT PANICLE 1	9	16411151	16415851	+	3069	protein_coding	Unknown phosphatidylethanolamine-binding protein (PEBP) like domain protein, 426-amino-acid protein, homologous to the keratin-associated protein (KAP) 5-4 family, Panicle architecture, Panicle erectnes	-
Os03g0636800	NIMA-related kinase 1	3	24351648	24357284	-	2625	protein_coding	LSTK-1-like kinase	Pkinase
Os10g0181200	-	10	5577475	5586604	-	5414	protein_coding	Similar to binding protein	PPR
Os07g0188233	-	7	4719660	4722675	+	3016	protein_coding	Conserved hypothetical protein	-
Os06g0176300	-	6	3846106	3848325	+	1578	protein_coding	2OG-Fe(II) oxygenase domain containing protein	2OG-FeII_Oxy
Os05g0526600	-	5	26186333	26187544	+	1087	protein_coding	Zinc finger, RING/FYVE/PHD-type domain containing protein	-
Os03g0663750	-	3	26070770	26072916	+	1732	protein_coding	Hypothetical protein	-
Os08g0383800	-	8	18093397	18095760	-	977	protein_coding	Taurine catabolism dioxygenase TauD/TfdA domain containing protein	-
Os01g0153800	-	1	2896841	2897944	+	1104	protein_coding	Similar to gibberellin receptor GID1L2	Abhydrolase_3
Os09g0464066	-	9	17571821	17572267	+	447	protein_coding	Hypothetical protein	-
Os08g0293300	-	8	11785529	11798215	-	3384	protein_coding	NB-ARC domain containing protein	NB-ARC
Os01g0785400	GH3-1	1	33308448	33310933	+	2234	protein_coding	GH3 auxin-responsive promoter family protein	-
Os01g0191200	-	1	4872158	4873806	-	1329	protein_coding	Similar to Acid phosphatase	-
Os06g0148200	GDSL ESTERASE/LIPASE PROTEIN 74	6	2515766	2517632	+	1257	protein_coding	Lipase, GDSL domain containing protein	Lipase_GDSL
Os02g0573500	-	2	21995524	22002502	+	1927	protein_coding	Similar to Monosaccharide transporter 1	Sugar_tr
Os01g0731201	-	1	30516127	30517387	-	1261	protein_coding	Hypothetical gene	-
Os04g0434400	endosperm-specific gene 66	4	21595744	21597780	+	1356	protein_coding	Similar to H0823A09.7 protein	-
ENSRNA049471650	snoR41	1	41010743	41010838	-	96	snoRNA	Small nucleolar RNA R41	-
Os08g0174750	-	8	4351785	4352132	+	348	protein_coding	Hypothetical conserved gene	-
Os07g0141100	-	7	2128467	2130049	-	1452	protein_coding	Protein kinase, core domain containing protein	Pkinase
Os04g0556100	-	4	27836613	27838008	-	1396	protein_coding	Conserved hypothetical protein	-
Os01g0348000	-	1	13859456	13859751	+	296	protein_coding	Similar to Papain-like cysteine proteinase (Fragment)	-
Os02g0583700	-	2	22509550	22510620	-	630	protein_coding	Conserved hypothetical protein	-
Os01g0210550	-	1	6008725	6009183	+	459	protein_coding	Hypothetical gene	-
Os02g0248200	-	2	8380541	8384118	-	1245	protein_coding	Zinc finger, RING-type domain containing protein	-
Os07g0475700	SMALL AUXIN-UP RNA 30	7	17186673	17187640	+	968	protein_coding	Auxin responsive SAUR protein family protein	Auxin_inducible
Os05g0121750	-	5	1192862	1193809	+	258	protein_coding	Hypothetical conserved gene	-
Os07g0251900	-	7	8465826	8472252	+	4141	protein_coding	Leucine-rich repeat, N-terminal domain containing protein	LRRNT_2
Os05g0297800	-	5	13275328	13278767	-	2408	protein_coding	Conserved hypothetical protein	-
Os03g0561400	-	3	20124488	20127262	-	2775	protein_coding	Conserved hypothetical protein	-
Os07g0143401	-	7	2212152	2213086	-	755	protein_coding	Hypothetical gene	-
Os03g0594100	-	3	22083215	22086165	+	2154	protein_coding	Cytochrome P450 family protein	p450
Os11g0698567	-	11	28579789	28584012	-	994	protein_coding	Conserved hypothetical protein	-
Os09g0457532	-	9	17296167	17297881	-	1540	protein_coding	Hypothetical protein	-
Os02g0282600	-	2	10540690	10543155	-	2466	protein_coding	Conserved hypothetical protein	-
Os01g0606200	-	1	23890258	23890668	-	288	protein_coding	Conserved hypothetical protein	-
Os03g0789000	CALCIUM-DEPENDENT PROTEIN KINASE 11	3	32791645	32798572	-	1770	protein_coding	Similar to Calcium-dependent protein kinase	Pkinase
Os01g0366300	-	1	14964573	14968307	+	2602	protein_coding	Similar to Receptor protein kinase	Pkinase_Tyr
Os03g0783100	-	3	32456138	32457740	+	1603	protein_coding	Conserved hypothetical protein	-
Os10g0413700	NAC DOMAIN-CONTAINING PROTEIN 118	10	14436872	14438849	+	1717	protein_coding	No apical meristem (NAM) protein domain containing protein	NAM
Os11g0146100	-	11	2087799	2089433	-	1635	protein_coding	Similar to AtPIP5K1	MORN
Os06g0642500	-	6	26155464	26159072	+	2225	protein_coding	Cytochrome P450 domain containing protein	p450
Os09g0511900	BETA-GLUCOSIDASE 33	9	19908731	19914481	-	1917	protein_coding	Similar to Beta-glucosidase 32	Glyco_hydro_1
Os04g0111225	-	4	647538	650068	-	596	protein_coding	Similar to H0215A08.5 protein	-
Os07g0625600	S-PHASE KINASE-ASSOCIATED PROTEIN1-LIKE PROTEIN 19, Oryza sativa SKP1-like gene 19	7	25914762	25915298	+	537	protein_coding	Fimbriata-associated protein (Fragment)	Skp1
Os04g0352066	-	4	16801977	16802287	+	311	protein_coding	Conserved hypothetical protein	-
Os02g0142250	-	2	2312299	2317211	-	1714	protein_coding	Similar to J013125B21, full insert sequence	-
Os03g0700100	Thionin 38	3	28063603	28064495	-	893	protein_coding	Somatomedin B domain containing protein	-
Os01g0572200	-	1	21992872	21994492	-	1621	protein_coding	Hypothetical protein	-
Os04g0347200	-	4	16519831	16521452	-	1209	protein_coding	Similar to OSIGBa0111I14.7 protein	-
Os02g0482400	ORNITHINE DECARBOXYLASE B	2	16639696	16641280	-	1585	protein_coding	Similar to Ornithine decarboxylase (EC 4.1.1.17	-
Os03g0269300	-	3	8964025	8966806	-	2693	protein_coding	Protein kinase-like domain containing protein	Pkinase
Os06g0272800	trichome birefringence-like 61, trichome birefringence-like 65	6	9202965	9208661	-	1404	protein_coding	Domain of unknown function DUF231, plant domain containing protein	-
Os12g0137400	-	12	1814889	1815861	+	973	protein_coding	Conserved hypothetical protein	-
Os04g0447500	-	4	22316723	22319604	+	1282	protein_coding	Similar to NADPH-dependent codeinone reductase (EC 1.1.1.247)	Aldo_ket_red
Os03g0638400	-	3	24466606	24473558	+	2758	protein_coding	Similar to OSIGBa0153E02-OSIGBa0093I20.19 protein	-
Os11g0431400	SERINE CARBOXYPEPTIDASE 53	11	13864245	13869067	-	1479	protein_coding	Similar to Serine carboxypeptidase	-
Os09g0518900	-	9	20258663	20259964	-	1302	protein_coding	Rhamnosyl O-methyltransferase/Cephalosporin hydroxylase domain containing protein	-
Os04g0293300	-	4	12838399	12839208	+	531	protein_coding	Similar to Tropinone reductase-I (EC 1.1.1.206) (TR-I) (Tropine dehydrogenase)	-
Os09g0360500	-	9	11743857	11749579	-	1737	protein_coding	Thiolase-like, subgroup domain containing protein	-
Os05g0415400	NAC DOMAIN-CONTAINING PROTEIN 24	5	20308486	20310242	-	1336	protein_coding	Similar to OsNAC6 protein	NAM
Os10g0128502	-	10	1769240	1769889	+	650	protein_coding	Hypothetical conserved gene	-
Os07g0654500	-	7	27488414	27491916	-	1739	protein_coding	Hypothetical protein	-
ENSRNA049473016	snoR77Y	3	31188585	31188666	-	82	snoRNA	Small nucleolar RNA snoR77Y	-
Os05g0588700	-	5	29317649	29324873	-	3023	protein_coding	Paired amphipathic helix domain containing protein	-
Os03g0229000	-	3	6814731	6817574	+	2844	protein_coding	Conserved hypothetical protein	-
Os10g0176550	-	10	5287364	5287771	+	408	protein_coding	Hypothetical genes	-
Os07g0127600	PATHOGENESIS-RELATED GENE 1-73	7	1437292	1438147	+	856	protein_coding	Allergen V5/Tpx-1 related family protein	SCP
Os01g0814300	-	1	34636155	34639624	+	2472	protein_coding	Pentatricopeptide repeat domain containing protein	-
Os01g0166200	-	1	3401204	3402049	-	846	protein_coding	Hypothetical protein	-
Os04g0412000	-	4	20348436	20353555	+	1584	protein_coding	Hypothetical protein	-
Os03g0240600	U-box containing E3 ligase induced by phosphate starvation	3	7440402	7442007	-	1606	protein_coding	U-box containing E3 ligase, Response to phosphate starvatio	U-box
Os03g0602500	-	3	22544584	22547295	-	1515	protein_coding	Similar to Dihydropterin pyrophosphokinase /dihydropteroate synthase precursor (EC 2.5.1.15)	-
Os12g0579450	-	12	23983517	23992683	-	943	protein_coding	Hypothetical gene	-
Os01g0163000	-	1	3283266	3286357	+	3092	protein_coding	Leucine-rich repeat, N-terminal domain containing protein	LRRNT_2
Os06g0219900	-	6	6177896	6179163	-	1268	protein_coding	Similar to Phi-1 protein	-
Os09g0526500	-	9	20587554	20588586	-	1033	protein_coding	C2 calcium/lipid-binding region, CaLB domain containing protein	-
Os10g0111400	WALL-ASSOCIATED KINASE GENE 95	10	794387	799383	-	2229	protein_coding	Similar to Protein kinase domain containing protein, expressed	Pkinase
ENSRNA049447492	tRNA-Ala	10	21251467	21251539	+	73	tRNA	tRNA-Ala for anticodon AGC	-
Os06g0338700	-	6	13499044	13501580	+	1641	protein_coding	Similar to Primary amine oxidase	-
Os04g0168300	-	4	4689042	4689554	-	513	protein_coding	Conserved hypothetical protein	-
Os04g0412700	-	4	20391988	20393083	+	1096	protein_coding	Carbonic anhydrase, eukaryotic family protein	-
Os02g0703600	ABA-8'-HYDROXYLASE 1	2	28995717	28998452	+	2371	protein_coding	Similar to Abscisic acid 8'-hydroxylase 1	p450
Os09g0569800	RECEPTOR-LIKE CYTOPLASMIC KINASE 280	9	22736559	22741162	+	2577	protein_coding	Serine/threonine protein kinase-related domain containing protein	Pkinase
Os09g0334800	-	9	10152941	10157508	+	3425	protein_coding	Similar to protein kinase	Pkinase
Os01g0711800	nucleosome assembly protein 1-like protein 3, Nucleosome assembly protein 1;3	1	29580715	29583046	-	894	protein_coding	Nucleosome assembly protein (NAP) family protein	-
Os11g0133100	-	11	1522291	1524288	-	1998	protein_coding	Similar to D-mannose binding lectin family protein	Pkinase
Os09g0447300	P-450 76L1	9	16711022	16713794	-	1819	protein_coding	Cytochrome P450 family protein	p450
ENSRNA049444267	tRNA-Lys	12	23823646	23823718	-	73	tRNA	tRNA-Lys for anticodon CUU	-
Os03g0414100	-	3	17143001	17144403	-	1403	protein_coding	Conserved hypothetical protein	-
Os03g0109800	-	3	571092	573992	+	1473	protein_coding	Hypothetical conserved gene	-
Os03g0326200	-	3	11893128	11898228	-	4080	protein_coding	Similar to aminophospholipid ATPase	E1-E2_ATPase
Os01g0740400	-	1	30919728	30921193	+	1466	protein_coding	Protein of unknown function DUF1005 family protein	-
Os05g0555600	NADH-DEPENDENT GLUTAMATE SYNTHASE 2	5	27631211	27636450	+	2257	protein_coding	Similar to Glutamate synthase [NADH], amyloplastic	Pyr_redox_2
Os03g0581400	GDSL ESTERASE/LIPASE PROTEIN 52	3	21353518	21356813	+	1152	protein_coding	Similar to anther-specific proline-rich protein APG	-
Os08g0189500	GERMIN-LIKE PROTEIN 8-6	8	5238999	5240148	+	973	protein_coding	Germin-like protein 8-6, Disease resistanc	-
Os12g0233100	-	12	7286400	7287545	+	1146	protein_coding	WW/Rsp5/WWP domain containing protein	-
Os01g0357100	PROMOTOR OF SHOOT REGENERATION 1	1	14446913	14453454	+	2595	protein_coding	Ferredoxin-nitrite reductase, Nitrate reduction (assimilation), Determination of regeneration abilit	-
Os08g0246950	-	8	8977536	8978715	-	1180	protein_coding	Hypothetical protein	-
Os09g0567201	-	9	22639592	22640625	+	1034	protein_coding	Hypothetical protein	-
Os08g0245200	4-COUMARATE:COENZYME A LIGASE 1	8	8874179	8878862	+	2065	protein_coding	4-coumarate:coenzyme A ligase, Lignin biosynthesi	AMP-binding
Os12g0169950	-	12	3557612	3558959	+	1348	protein_coding	Hypothetical gene	Pkinase
Os11g0144900	-	11	2056281	2059194	+	2914	protein_coding	Conserved hypothetical protein	-
Os12g0128000	F-box protein 638	12	1342002	1344257	+	1717	protein_coding	Cyclin-like F-box domain containing protein	-
Os05g0277000	EXPA33	5	11418476	11419481	-	747	protein_coding	Similar to Expansin Os-EXPA3	-
Os10g0159033	-	10	3741004	3743910	-	841	protein_coding	Conserved hypothetical protein	-
Os11g0582400	endosperm-specific gene 146	11	22012024	22013643	-	1620	protein_coding	Similar to Embryo-specific protein	-
Os11g0701000	-	11	28727508	28728821	-	1314	protein_coding	Class III chitinase homologu	-
Os05g0447580	Mediator 13_1	5	21953380	21956564	-	1142	protein_coding	Hypothetical conserved gene	-
Os08g0197900	-	8	5658727	5659464	+	738	protein_coding	Conserved hypothetical protein	F-box
Os07g0409200	-	7	12763740	12766733	+	1842	protein_coding	Carbohydrate kinase, FGGY domain containing protein	-
Os04g0127800	KIX domain protein 3, Mediator 15_1	4	1754439	1759735	+	3214	protein_coding	Coactivator CBP, KIX domain containing protein	-
Os05g0576700	-	5	28716494	28717779	-	1286	protein_coding	Oleosin family protein	-
Os03g0373300	-	3	14698096	14698884	-	789	protein_coding	Protein of unknown function DUF1110 domain containing protein	-
Os09g0400900	-	9	14022579	14025907	+	827	protein_coding	Conserved hypothetical protein	-
Os11g0572200	EXOCYST SUBUNIT EXO70 FAMILY PROTEIN FX8	11	21462382	21464486	-	2041	protein_coding	Exo70 exocyst complex subunit family protein	Exo70
Os02g0833900	class III peroxidase 32	2	35875161	35876977	+	1383	protein_coding	Similar to Peroxidase 64 precursor (EC 1.11.1.7) (Atperox P64) (PRXR4) (ATP17a)	-
Os07g0670000	-	7	28335377	28337597	-	2221	protein_coding	Pentatricopeptide repeat domain containing protein	-
Os04g0647425	-	4	32940770	32941886	-	1117	protein_coding	Protein of unknown function DUF247, plant domain containing protein	-
Os03g0233000	-	3	7061772	7063303	+	1428	protein_coding	Protein of unknown function DUF607 family protein	-
Os07g0104500	class III peroxidase 95	7	259712	262742	+	1461	protein_coding	Haem peroxidase, plant/fungal/bacterial family protein	-
Os05g0387300	-	5	18742852	18743489	-	638	protein_coding	Hypothetical protein	-
Os12g0512100	-	12	19788367	19791483	-	1945	protein_coding	Sugar/inositol transporter domain containing protein	Sugar_tr
Os08g0162250	-	8	3682111	3682488	+	378	protein_coding	Hypothetical conserved gene	-
Os11g0422000	-	11	13207199	13207707	-	509	protein_coding	Conserved hypothetical protein	-
