gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	tf_family
Os04g0454200	-	4	22744192	22748050	+	1842	protein_coding	Similar to Monosaccharide transporter 1	Sugar_tr
Os07g0565800	-	7	22696014	22696695	-	682	protein_coding	Similar to LLA-115	-
Os06g0694600	-	6	28995903	28997357	-	1455	protein_coding	Pentatricopeptide repeat domain containing protein	-
Os01g0633900	-	1	25409162	25413922	-	1252	protein_coding	Hypothetical conserved gene	-
Os01g0123900	BOWMAN-BIRK INHIBITOR 2-2	1	1338241	1339098	-	858	protein_coding	Similar to Bowman-Birk type proteinase inhibitor (EBI)	-
Os10g0524000	-	10	20361109	20365154	+	1667	protein_coding	Conserved hypothetical protein	-
Os10g0320100	FLAVONOID 3'-HYDROXYLASE	10	8679311	8681266	+	1863	protein_coding	Similar to Flavonoid 3'-monooxygenase (EC 1.14.13.21) (Flavonoid 3'-hydroxylase) (Cytochrome P450 75B2)	p450
Os09g0407300	-	9	14368067	14373628	-	2474	protein_coding	Domain of unknown function SprT-like domain containing protein	-
Os05g0587000	-	5	29240182	29242422	-	1583	protein_coding	Pectin lyase fold/virulence factor domain containing protein	-
Os04g0499100	-	4	24940515	24943098	+	2072	protein_coding	Biopterin transport-related protein BT1 family protein	-
Os06g0549600	-	6	20808194	20810005	-	1812	protein_coding	FAD-linked oxidase, FAD-binding, subdomain 2 domain containing protein	FAD_binding_4
Os02g0161800	class III peroxidase 24	2	3336154	3339094	-	1427	protein_coding	Similar to Peroxidase precursor (EC 1.11.1.7)	-
Os09g0571100	PECTIN METHYLESTERASE 28	9	22804668	22806066	+	1399	protein_coding	Pectin lyase fold/virulence factor domain containing protein	-
Os06g0292100	-	6	10726696	10729506	-	2811	protein_coding	Hypothetical conserved gene	-
Os02g0151300	glycoside hydrolase OsGH9B7	2	2824488	2830257	-	2062	protein_coding	Similar to Cellulase (Fragment)	-
Os02g0143400	SMALL AUXIN-UP RNA 5	2	2408927	2409319	-	393	protein_coding	Similar to small auxin up RNA1	Auxin_inducible
Os10g0398100	-	10	13402709	13403493	-	785	protein_coding	Plant disease resistance response protein family protein	-
Os07g0689150	-	7	29289228	29291615	-	561	protein_coding	Similar to BADH-like protein	Aldedh
Os08g0244500	-	8	8837400	8839354	+	1692	protein_coding	Similar to hydrolase, hydrolyzing O-glycosyl compounds	Glyco_hydro_17
Os07g0494800	RECEPTOR-LIKE CYTOPLASMIC KINASE 231	7	18497999	18502813	+	2652	protein_coding	Serine/threonine protein kinase domain containing protein	Pkinase
Os03g0609000	-	3	22947541	22950581	+	2828	protein_coding	Peptidase, trypsin-like serine and cysteine domain containing protein	-
Os10g0413400	-	10	14423961	14428117	+	1995	protein_coding	Similar to Glycerol-3-phosphate acyltransferase 6 (EC 2.3.1.15) (AtGPAT6)	-
