gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	tf_family
Os12g0204600	-	12	5469046	5471369	-	2324	protein_coding	NB-ARC domain containing protein	NB-ARC
Os11g0116200	non-specific lipid transfer protein 1.13, lipid transfer protein 1.13, type 1 non-specific lipid transfer protein 13	11	722933	726970	+	1503	protein_coding	Similar to nonspecific lipid-transfer protein 3	-
Os07g0238800	-	7	7721180	7723813	+	2359	protein_coding	Protein of unknown function DUF1723 domain containing protein	-
Os02g0230300	-	2	7323916	7324292	-	377	protein_coding	En/Spm-like transposon protein (Protodermal factor 1)	-
Os12g0616000	-	12	26131005	26133878	-	2258	protein_coding	Similar to Kinesin-like protein KIFC3	Kinesin
Os02g0816300	-	2	34982175	34989869	+	3896	protein_coding	Armadillo-type fold domain containing protein	-
Os04g0465600	-	4	23278475	23279374	+	757	protein_coding	Bet v I allergen family protein	-
Os05g0567900	GATA transcription factor 8, GATA factor 8	5	28271813	28272705	-	762	protein_coding	Hypothetical conserved gene	GATA
Os08g0555700	-	8	27818486	27818962	-	477	protein_coding	Zinc finger, C2H2-type domain containing protein	-
Os04g0459000	MULTIDRUG RESISTANCE 13	4	22914766	22921280	-	4184	protein_coding	Multidrug-resistance(MDR)-like ATP Binding Cassette B (ABCB) transporter, P-glyco-protein, Auxin transport, Iron homeostasi	ABC_membrane
Os09g0337500	-	9	10260259	10266738	-	2795	protein_coding	Conserved hypothetical protein	-
Os04g0688200	class III peroxidase 60, peroxidase 1	4	35192194	35193779	-	1412	protein_coding	Similar to Peroxidase (EC 1.11.1.7)	-
Os01g0228901	-	1	7115785	7124100	-	3796	protein_coding	Hypothetical gene	Myb_DNA-binding
Os05g0125100	-	5	1440997	1441914	-	918	protein_coding	Conserved hypothetical protein	-
Os02g0723400	IAA8	2	30064358	30066172	+	1387	protein_coding	Similar to Isoform 2 of Auxin-responsive protein IAA8	-
Os06g0531900	GDSL ESTERASE/LIPASE PROTEIN 85	6	19866072	19870004	-	1576	protein_coding	Lipase, GDSL domain containing protein	Lipase_GDSL
Os12g0600200	-	12	25247754	25253940	-	3705	protein_coding	Similar to Zinc finger, C3HC4 type family protein, expressed	-
Os03g0161100	-	3	3260107	3270386	+	7851	protein_coding	Similar to Viral A-type inclusion protein repeat containing protein, expressed	-
Os03g0260432	CLV3/ESR-related 302, CLAVATA3/ENDOSPERM SURROUNDING REGION (ESR)-related (CLE) protein 302	3	8445623	8446519	-	897	protein_coding	Similar to CLE family OsCLE302 protein	-
Os04g0642000	MULTIDRUG RESISTANCE 12	4	32671919	32678320	-	3812	protein_coding	Similar to MDR-like p-glycoprotein	ABC_membrane
Os06g0704100	-	6	29733805	29737188	+	2139	protein_coding	Protein of unknown function DUF547 domain containing protein	-
Os03g0807700	-	3	33765712	33767700	+	1422	protein_coding	Protein of unknown function DUF642 domain containing protein	-
Os06g0224650	-	6	6463494	6465270	-	1777	protein_coding	Mitochodrial transcription termination factor-related family protein	-
Os02g0725900	HAP3K SUBUNIT OF CCAAT-BOX BINDING COMPLEX	2	30191485	30192488	-	864	protein_coding	Component of the NF-Y/HAP transcription factor complex, Regulation of endosperm developmen	-
Os09g0538500	-	9	21197503	21199688	+	1946	protein_coding	Similar to Male sterility MS5	-
Os04g0337500	-	4	15888816	15893913	+	1446	protein_coding	Aldo/keto reductase family protein	Aldo_ket_red
Os10g0337500	-	10	9770801	9776538	+	2415	protein_coding	Zinc finger, DHHC-type domain containing protein	-
Os01g0886350	-	1	38515103	38516802	-	1700	protein_coding	Conserved hypothetical protein	-
Os08g0508100	-	8	25156907	25159842	-	2145	protein_coding	Conserved hypothetical protein	-
Os11g0124300	SCARECROW 1	11	1119746	1123350	+	2920	protein_coding	Transcription factor, Asymmetric cell division involved in radial pattern formation in root	GRAS
Os08g0267000	F-box protein 430	8	10198285	10201713	-	1119	protein_coding	F-box domain, Skp2-like domain containing protein	-
Os02g0639500	-	2	25652554	25659494	+	1296	protein_coding	Similar to Expansin-B16	-
Os01g0521500	DnaJ domain protein C8	1	18601026	18611536	+	2189	protein_coding	Heat shock protein DnaJ family protein	DnaJ
Os08g0551225	-	8	27634971	27639542	-	3134	protein_coding	Hypothetical gene	-
