gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	tf_family
Os01g0275300	-	1	9625243	9625889	+	564	protein_coding	Conserved hypothetical protein	-
Os10g0357800	-	10	10932181	10938990	+	1837	protein_coding	N2,N2-dimethylguanosine tRNA methyltransferase family protein	TRM
Os01g0785700	-	1	33318039	33322908	+	2314	protein_coding	Pentatricopeptide repeat domain containing protein	-
Os02g0723300	-	2	30053886	30058536	-	890	protein_coding	Hypothetical conserved gene	RNA_pol_Rpb4
Os09g0359800	PROTEIN ARGININE METHYLTRANSFERASE 1	9	11702891	11706323	-	1608	protein_coding	Similar to Arginine methyltransferase pam1 (Pam1)	-
Os07g0592200	aspartic protease 65	7	24129716	24137321	-	2310	protein_coding	Aspartic protease, Pollen germination and pollen tube growt	-
Os07g0490450	-	7	18239538	18240067	-	390	protein_coding	Hypothetical protein	-
Os02g0755900	-	2	31805977	31807800	+	1658	protein_coding	UDP-glucuronosyl/UDP-glucosyltransferase domain containing protein	UDPGT
Os01g0839100	ZINC FINGER PROTEIN 179	1	36001242	36002101	+	860	protein_coding	Zinc finger, C2H2 domain containing protein	-
Os02g0826100	RNA helicase 48	2	35502083	35507042	-	2658	protein_coding	Similar to RNA helicase (Fragment)	DEAD
Os01g0976450	-	1	43143717	43153489	+	1152	protein_coding	SET domain domain containing protein	SET
Os07g0534700	-	7	20970019	20975946	+	2282	protein_coding	Serine/threonine protein kinase-related domain containing protein	Pkinase_Tyr
Os10g0563800	-	10	22261588	22261963	-	376	protein_coding	Hypothetical conserved gene	-
Os06g0670500	CYCLOPHILIN 59B	6	27792515	27798510	+	2152	protein_coding	Similar to Multidomain cyclophilin type peptidyl-prolyl cis-trans isomerase	Pro_isomerase
Os03g0200200	-	3	5261710	5263669	+	1009	protein_coding	Conserved hypothetical protein	-
Os01g0871600	Proton-dependent oligopeptide transporter family protein	1	37795606	37797741	+	1875	protein_coding	Similar to Peptide transporter PTR2-B	-
Os12g0204600	-	12	5469046	5471369	-	2324	protein_coding	NB-ARC domain containing protein	NB-ARC
Os10g0419600	CHLOROPHYLL A DEGRADING ENZYME	10	14763501	14765095	-	1359	protein_coding	Chlorophyllase family protein	-
Os01g0166300	-	1	3402088	3403488	+	669	protein_coding	Similar to nuclease	-
Os03g0195475	-	3	4954410	4959369	+	2287	protein_coding	Hypothetical protein	Sulfate_transp
Os02g0801900	-	2	34182107	34184584	+	1547	protein_coding	Conserved hypothetical protein	-
Os09g0470000	-	9	17884858	17885624	+	524	protein_coding	Similar to Plastidic general dicarboxylate transporter	Na_sulph_symp
Os03g0809800	RING finger protein	3	33891972	33893270	-	813	protein_coding	Conserved hypothetical protein	-
Os03g0282900	-	3	9703697	9707178	+	1123	protein_coding	Conserved hypothetical protein	-
Os06g0683400	OsCCD1	6	28483812	28484488	+	677	protein_coding	Small calcium-binding protein with one EF-hand motif, Positive regulation of osmotic and salt toleranc	-
Os02g0732700	Mediator 23_1	2	30542197	30553568	-	5375	protein_coding	Mediator complex, subunit Med23 domain containing protein	-
Os04g0534300	-	4	26709264	26712490	+	1215	protein_coding	EF hand domain containing protein	-
Os04g0298600	-	4	13201958	13215932	+	3106	protein_coding	Uncharacterised protein family FPL domain containing protein	-
Os11g0116200	non-specific lipid transfer protein 1.13, lipid transfer protein 1.13, type 1 non-specific lipid transfer protein 13	11	722933	726970	+	1503	protein_coding	Similar to nonspecific lipid-transfer protein 3	-
Os08g0109300	ADENYLATE KINASE 1	8	461655	464813	-	1217	protein_coding	Homolog of Arabidopsis ADENOSINE MONOPHOSPHATE KINASE 2 (AMK2), A member of adenylate kinase (AK) famil	ADK
Os03g0323100	-	3	11710916	11711904	-	989	protein_coding	Conserved hypothetical protein	-
