gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	tf_family
Os03g0185200	-	3	4470567	4476128	-	2279	protein_coding	Pentatricopeptide repeat domain containing protein	-
Os03g0580200	-	3	21275422	21276198	-	777	protein_coding	Lipase, GDSL domain containing protein	-
Os07g0667300	B-box-containing protein 23, CCT domain-containing gene 27, CCT (CO, CO-LIKE and TOC1) domain protein 27, CCT domain protein 27	7	28184879	28187843	-	1547	protein_coding	CONSTANS-like transcriptional activator, Negative regulation of flowerin	CCT
Os01g0550800	-	1	20640981	20643879	+	1552	protein_coding	Protein of unknown function DUF239, plant domain containing protein	-
Os01g0871800	-	1	37804021	37807126	+	3002	protein_coding	TGF-beta receptor, type I/II extracellular region family protein	-
Os01g0585400	-	1	22755984	22757293	+	660	protein_coding	Similar to DDB1A (DAMAGED DNA BINDING PROTEIN 1A); DNA binding / protein binding	-
Os02g0623932	-	2	24871746	24872333	-	588	protein_coding	Similar to WAK80 - OsWAK receptor-like protein kinase	Pkinase
Os10g0394700	-	10	13186553	13187289	-	646	protein_coding	Hypothetical conserved gene	-
Os02g0580900	nitrate transporter 1.3A	2	22369930	22374416	-	2552	protein_coding	TGF-beta receptor, type I/II extracellular region family protein	-
Os01g0889900	-	1	38688239	38692619	-	2794	protein_coding	Serine/threonine protein kinase-related domain containing protein	Pkinase
Os08g0249200	-	8	9111086	9111844	-	759	protein_coding	Similar to GDU1	-
Os11g0154500	NAC DOMAIN-CONTAINING PROTEIN 17	11	2550551	2552963	+	2329	protein_coding	Blast disease-responsive transcription factor, Disease resistanc	NAM
Os04g0657300	-	4	33524754	33525163	-	410	protein_coding	Conserved hypothetical protein	-
Os02g0763800	-	2	32177755	32179122	+	1368	protein_coding	Xyloglucan fucosyltransferase domain containing protein	-
Os03g0828300	-	3	34792025	34793842	+	1713	protein_coding	Similar to (1-4)-beta-mannan endohydrolase-like protein	-
Os03g0574600	-	3	20961329	20962190	-	623	protein_coding	Conserved hypothetical protein	-
Os09g0544700	-	9	21524369	21525566	-	804	protein_coding	Protein of unknown function DUF674 domain containing protein	-
Os06g0648200	-	6	26485898	26494001	-	6382	protein_coding	Conserved hypothetical protein	-
Os09g0564800	-	9	22459228	22461846	-	2619	protein_coding	Conserved hypothetical protein	-
Os06g0500700	-	6	17630572	17632343	-	1648	protein_coding	Cytochrome P450 family protein	p450
Os04g0175450	-	4	5152085	5153404	+	1320	protein_coding	Hypothetical protein	-
Os11g0444900	-	11	14713272	14714398	+	1035	protein_coding	Octicosapeptide/Phox/Bem1p domain containing protein	-
Os02g0318400	-	2	12656300	12657291	-	992	protein_coding	Conserved hypothetical protein	-
Os07g0159600	-	7	3188806	3189565	+	760	protein_coding	Similar to RING-H2 finger protein ATL2I	-
Os04g0513400	BETA-GLUCOSIDASE 16	4	25658339	25667057	+	3165	protein_coding	Similar to Beta-glucosidase	Glyco_hydro_1
Os08g0494200	-	8	24394211	24406486	+	754	protein_coding	Conserved hypothetical protein	-
Os04g0552000	EXPB15	4	27645701	27647185	+	795	protein_coding	Barwin-related endoglucanase domain containing protein	-
Os04g0129900	-	4	1874562	1876811	-	2115	protein_coding	Similar to OSIGBa0103I21.1 protein	-
Os10g0547200	-	10	21406906	21407986	-	1081	protein_coding	Harpin-induced 1 domain containing protein	-
Os04g0515400	-	4	25754162	25756273	+	419	protein_coding	NTP pyrophosphohydrolase MazG, putative catalytic core domain containing protein	-
Os05g0500600	-	5	24631172	24632713	+	1542	protein_coding	GRAS transcription factor domain containing protein	GRAS
Os08g0132400	-	8	1828243	1831254	+	751	protein_coding	Hypothetical protein	-
Os03g0197100	-	3	5098241	5100592	+	2253	protein_coding	Similar to Sugar transporter protein	Sugar_tr
Os01g0556700	nitrate transporter 1.4	1	21040111	21041071	+	550	protein_coding	Hypothetical conserved gene	-
Os09g0397900	-	9	13891822	13897252	+	1907	protein_coding	Similar to FEG protein	-
Os05g0560100	guanine nucleotide exchange factor for Rop 2	5	27880066	27882840	-	1941	protein_coding	Similar to Pollen-specific kinase partner protein	DUF315
Os03g0360300	-	3	13995812	13996647	-	836	protein_coding	Conserved hypothetical protein	-
Os03g0800400	-	3	33385135	33387239	-	1878	protein_coding	Protein of unknown function DUF1618 domain containing protein	-
CAA34012	-	Pt	8349	8651	+	303	protein_coding	-	-
Os06g0635200	-	6	25747250	25749944	-	1774	protein_coding	Protein of unknown function DUF3537 domain containing protein	-
Os03g0687900	-	3	27448811	27449258	-	448	protein_coding	Conserved hypothetical protein	-
Os01g0666400	-	1	27240118	27241139	-	1022	protein_coding	Similar to predicted protein	-
Os01g0323100	RECEPTOR-LIKE CYTOPLASMIC KINASE 33	1	12332795	12337225	-	1809	protein_coding	Similar to Pto kinase interactor 1	Pkinase_Tyr
Os07g0124300	b-ZIP TRANSCRIPTION FACTOR 57	7	1267873	1268776	+	904	protein_coding	Similar to bZIP transcription factor family protein	bZIP_1
Os04g0643700	-	4	32758880	32762453	+	2757	protein_coding	Pentatricopeptide repeat domain containing protein	-
Os01g0710200	POLYAMINE OXIDASE 1	1	29513380	29514941	-	1562	protein_coding	Polyamine oxidase, Polyamine catabolis	Amino_oxidase
Os02g0208675	-	2	6094465	6095673	+	1209	protein_coding	Hypothetical protein	Kelch_1
Os01g0136200	16.9 KDA CLASS I HEAT SHOCK PROTEIN 2	1	1951930	1952681	+	752	protein_coding	16.9 kDa class I heat shock protein 1	-
Os11g0142400	-	11	1986490	1988373	+	1742	protein_coding	Similar to Strictosidine synthase family protein, expressed	-
Os03g0401100	-	3	16282782	16290478	+	3802	protein_coding	Similar to Protein kinase domain containing protein, expressed	Pkinase_Tyr
Os03g0237100	DEOXYMUGINEIC ACID SYNTHASE 1	3	7229093	7231670	+	1284	protein_coding	Similar to NADPH-dependent codeinone reductase (EC 1.1.1.247)	Aldo_ket_red
Os03g0333700	-	3	12327105	12329217	-	1466	protein_coding	Conserved hypothetical protein	-
Os03g0642900	-	3	24768026	24782984	-	1110	protein_coding	Similar to Hydrolase-like protein	-
Os05g0369500	EXOCYST SUBUNIT EXO70 FAMILY PROTEIN FX3	5	17756959	17758997	-	2039	protein_coding	Exo70 exocyst complex subunit domain containing protein	Exo70
Os07g0664600	rice microspore-preferred 8	7	28061378	28063141	+	1683	protein_coding	Glucose/ribitol dehydrogenase family protein	adh_short
Os01g0848475	-	1	36445402	36449427	+	1973	protein_coding	Hypothetical protein	POX
Os07g0146700	-	7	2389707	2390872	+	621	protein_coding	Hypothetical protein	-
Os07g0524200	-	7	20348669	20349531	+	863	protein_coding	Harpin-induced 1 domain containing protein	-
Os12g0255850	-	12	8784618	8788698	-	806	protein_coding	Conserved hypothetical protein	-
Os05g0482501	-	5	23739115	23739799	+	685	protein_coding	Hypothetical conserved gene	-
Os05g0453100	-	5	22225674	22226711	+	1038	protein_coding	Hypothetical protein	-
Os09g0512000	-	9	19917485	19920309	+	1738	protein_coding	SecY protein family protein	-
Os06g0606100	-	6	24069342	24072302	-	2247	protein_coding	Hypothetical conserved gene	-
Os09g0484900	-	9	18715940	18718840	+	1959	protein_coding	Sodium/sulphate symporter family protein	Na_sulph_symp
Os03g0571800	-	3	20778588	20779157	+	570	protein_coding	Hypothetical protein	MatE
Os01g0283400	-	1	10136482	10137054	+	573	protein_coding	Conserved hypothetical protein	-
Os08g0327501	-	8	14422818	14425657	-	2620	protein_coding	Conserved hypothetical protein	-
Os09g0241200	-	9	3126678	3127160	-	483	protein_coding	Hypothetical protein	-
Os03g0304100	-	3	10748551	10749553	-	718	protein_coding	Conserved hypothetical protein	-
