gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	tf_family
Os04g0454200	-	4	22744192	22748050	+	1842	protein_coding	Similar to Monosaccharide transporter 1	Sugar_tr
Os02g0657850	-	2	26582266	26582533	-	268	protein_coding	Conserved hypothetical protein	-
Os11g0259700	-	11	8648863	8650862	+	1298	protein_coding	Similar to SAM dependent carboxyl methyltransferase family protein	-
Os02g0124501	-	2	1263685	1265966	+	1790	protein_coding	Hypothetical protein	ALO
Os01g0693700	-	1	28651357	28651761	-	405	protein_coding	Similar to Nitrate reductase [NAD(P)H]	-
Os01g0627550	-	1	25045913	25049352	+	1631	protein_coding	Hypothetical protein	-
Os02g0159850	-	2	3233676	3233934	-	259	protein_coding	Similar to predicted protein	-
Os02g0736900	-	2	30765565	30766141	-	577	protein_coding	Conserved hypothetical protein	-
Os03g0795600	-	3	33099408	33101484	-	1044	protein_coding	Uncharacterised protein family UPF0005 domain containing protein	-
Os07g0193701	-	7	5077088	5077494	+	407	protein_coding	Hypothetical protein	-
Os02g0599151	protein phosphatase 2C17, protein phosphatase 2C 17, protein phosphatase 27	2	23386353	23391753	+	2205	protein_coding	Probable protein phosphatase 2C 17	PP2C
Os04g0486300	Os_F0726	4	24294058	24295721	+	1664	protein_coding	Protein of unknown function DUF295 family protein	-
Os10g0194400	-	10	6555886	6556270	+	385	protein_coding	Hypothetical gene	-
Os01g0207900	USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTER 3	1	5856444	5857920	+	1154	protein_coding	Similar to nodulin-like protein	DUF6
Os04g0219200	-	4	7961023	7964447	-	1369	protein_coding	Hypothetical conserved gene	-
Os03g0157400	ABC TRANSPORTER G FAMILY MEMBER 4	3	3076026	3085989	-	7485	protein_coding	ABC transporter-like domain containing protein	ABC2_membrane
Os04g0347700	-	4	16547339	16548061	+	629	protein_coding	Similar to OSIGBa0130K07.4 protein	-
Os03g0619600	-	3	23491995	23496324	+	2684	protein_coding	Transcriptional factor B3 family protein	B3
Os08g0320900	endosperm-specific gene 120	8	13973143	13973797	+	655	protein_coding	Hypothetical protein	-
Os06g0472600	-	6	15755160	15759210	-	3273	protein_coding	Hypothetical conserved gene	-
Os06g0127300	-	6	1445613	1448625	-	1081	protein_coding	Similar to Calcium-dependent protein kinase	Pkinase
Os08g0495800	alkaline alpha-galactosidase	8	24475222	24479499	+	2621	protein_coding	Raffinose synthase family protein	-
ENSRNA049445657	tRNA-Trp	6	6450423	6450494	-	72	tRNA	tRNA-Trp for anticodon CCA	-
Os03g0355500	OsSTA100	3	13585245	13586204	+	960	protein_coding	Conserved hypothetical protein	-
Os01g0319000	-	1	12117107	12123026	+	2171	protein_coding	Similar to Pectin acetylesterase (Fragment)	-
Os01g0946500	-	1	41592216	41594985	-	1211	protein_coding	Similar to Glucan endo-1,3-beta-glucosidase GV (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase GV) ((1->3)-beta-glucanase isoenzyme GV) (Beta-1,3- endoglucanase GV)	Glyco_hydro_17
Os11g0518300	-	11	18581847	18585958	-	1375	protein_coding	Hypothetical protein	-
Os09g0379600	HOMEOBOX GENE 25	9	12782374	12783648	-	1275	protein_coding	Similar to Homeobox-leucine zipper protein HOX25	Homeobox
Os01g0500100	-	1	17230765	17231229	-	465	protein_coding	Conserved hypothetical protein	-
Os06g0145300	-	6	2384313	2386240	+	900	protein_coding	Transferase domain containing protein	-
Os11g0267400	CLASS I CLP ATPASE C3	11	9193137	9198640	-	3223	protein_coding	Similar to ClpC	AAA
Os11g0182500	Ankyrin Repeat-Containing Protein OsPIANK1	11	4150087	4154740	-	1317	protein_coding	Ankyrin repeat-containing protein, Regulator in basal defens	-
Os06g0718300	-	6	30521743	30524025	-	1347	protein_coding	Putative UPF0496 protein 2	-
Os01g0945150	-	1	41549126	41551347	+	1551	protein_coding	Hypothetical protein	-
Os08g0388900	-	8	18371708	18379608	+	1359	protein_coding	Similar to para-hydroxybenzoate--polyprenyltransferase	UbiA
Os03g0808200	-	3	33787909	33789417	+	1509	protein_coding	UDP-glucuronosyl/UDP-glucosyltransferase family protein	UDPGT
Os06g0694200	GDSL ESTERASE/LIPASE PROTEIN 88	6	28981367	28983436	-	1384	protein_coding	Esterase, SGNH hydrolase-type domain containing protein	Lipase_GDSL
Os12g0238400	-	12	7647796	7648241	-	276	protein_coding	Conserved hypothetical protein	-
Os09g0472900	-	9	18067436	18068411	+	741	protein_coding	Similar to Blight-associated protein p12 precursor	-
Os11g0604900	-	11	23308317	23313424	-	2988	protein_coding	Similar to NB-ARC domain containing protein	NB-ARC
Os05g0239350	-	5	8485045	8485825	-	781	protein_coding	Hypothetical gene	-
Os04g0107700	-	4	471138	472885	-	1377	protein_coding	Peptidase C1A, papain family protein	Peptidase_C1
Os03g0642300	-	3	24744077	24745553	+	1477	protein_coding	Protein kinase-like domain containing protein	Pkinase
Os05g0533400	-	5	26472208	26473772	-	1565	protein_coding	NB-ARC domain containing protein	NB-ARC
Os01g0138100	-	1	2046146	2053048	-	981	protein_coding	Conserved hypothetical protein	-
Os12g0567500	-	12	23338183	23344857	-	2925	protein_coding	Protein kinase, catalytic domain domain containing protein	Pkinase_Tyr
Os01g0623200	-	1	24861697	24864291	-	2367	protein_coding	Similar to C4-dicarboxylate transporter/malic acid transport protein	C4dic_mal_tran
Os01g0588000	-	1	22901067	22902273	-	1068	protein_coding	Heat shock protein Hsp20 domain containing protein	-
Os03g0574900	HIGH-AFFINITY POTASSIUM(K+) TRANSPORTER 27	3	20978620	20985759	-	2830	protein_coding	Similar to Potassium transporter	K_trans
