gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	tf_family
Os03g0118100	-	3	985771	989760	+	1742	protein_coding	Conserved hypothetical protein	-
Os08g0307601	-	8	12879949	12882797	+	815	protein_coding	Similar to cDNA clone:002-114-B06, full insert sequence	-
Os04g0685200	-	4	34997670	34998861	+	1192	protein_coding	Peptidase aspartic, catalytic domain containing protein	-
Os03g0830500	FW2.2-like 7	3	34883520	34884578	-	825	protein_coding	Similar to PGPS/D12	-
Os11g0295900	PLETHORA 6	11	10863409	10868622	+	2031	protein_coding	Similar to ASGR-BBM-like1	AP2
Os05g0454200	BRIGHT GREEN LEAF	5	22293498	22297207	+	2217	protein_coding	Guanine nucleotide exchange factors for Rop, Activation of small cuticular papillae development on leaf epidermi	DUF315
Os03g0260432	CLV3/ESR-related 302, CLAVATA3/ENDOSPERM SURROUNDING REGION (ESR)-related (CLE) protein 302	3	8445623	8446519	-	897	protein_coding	Similar to CLE family OsCLE302 protein	-
Os12g0109700	-	12	524065	526185	-	1543	protein_coding	Protein of unknown function DUF2985 domain containing protein	-
Os06g0224650	-	6	6463494	6465270	-	1777	protein_coding	Mitochodrial transcription termination factor-related family protein	-
Os08g0492000	Oligopeptide transporter 9	8	24311145	24314816	+	2504	protein_coding	Similar to Glutathione transporter	OPT
Os09g0561600	DEFECT IN EARLY EMBRYO SAC1	9	22315765	22318752	+	2482	protein_coding	Wall-associated receptor-like kinase, Regulation of early embryo sac development, Female gametophyte development, Positive regulation of rice blast resistanc	Pkinase
Os04g0337500	-	4	15888816	15893913	+	1446	protein_coding	Aldo/keto reductase family protein	Aldo_ket_red
Os09g0570850	-	9	22792228	22792931	-	459	protein_coding	Similar to Histone H2B	Histone
Os03g0702000	-	3	28193801	28195637	-	1751	protein_coding	UDP-glucuronosyl/UDP-glucosyltransferase family protein	UDPGT
Os09g0445700	-	9	16622012	16623568	+	1557	protein_coding	ATPase, AAA+ type, core domain containing protein	AAA
Os08g0551225	-	8	27634971	27639542	-	3134	protein_coding	Hypothetical gene	-
Os07g0228400	F-box protein 352	7	7165550	7167725	-	2176	protein_coding	Cyclin-like F-box domain containing protein	-
Os09g0571100	PECTIN METHYLESTERASE 28	9	22804668	22806066	+	1399	protein_coding	Pectin lyase fold/virulence factor domain containing protein	-
Os06g0292100	-	6	10726696	10729506	-	2811	protein_coding	Hypothetical conserved gene	-
Os02g0143400	SMALL AUXIN-UP RNA 5	2	2408927	2409319	-	393	protein_coding	Similar to small auxin up RNA1	Auxin_inducible
Os11g0535525	Prol-23, pro10.4	11	19509313	19509897	+	585	protein_coding	Similar to 10 kDa prolamin	-
Os12g0498900	-	12	18954678	18955772	+	999	protein_coding	Conserved hypothetical protein	-
Os10g0574500	-	10	22819400	22822941	-	1878	protein_coding	DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal domain containing protein	-
Os10g0550500	-	10	21594279	21599492	-	1807	protein_coding	Similar to Pectinacetylesterase	-
Os09g0418500	CALCINEURIN B-LIKE PROTEIN-INTERACTING PROTEIN KINASE 27	9	15027311	15034300	+	2427	protein_coding	Similar to CBL-interacting protein kinase 14	Pkinase
Os07g0495250	-	7	18536376	18541354	+	3843	protein_coding	Hypothetical gene	-
Os08g0108300	OsWD40-152	8	400135	401424	-	1290	protein_coding	Pistil-specific extensin-like protein family protein	-
ENSRNA049470317	snoZ223	6	28266551	28266642	+	92	snoRNA	Small nucleolar RNA Z223	-
Os02g0268100	GLUTELIN B5	2	9580486	9582483	+	1665	protein_coding	Similar to Glutelin (Fragment)	-
Os06g0551500	-	6	20906011	20907211	+	943	protein_coding	Conserved hypothetical protein	-
Os10g0513400	-	10	19804480	19806116	+	1637	protein_coding	Cytochrome P450 family protein	p450
Os08g0162200	-	8	3677031	3679364	+	2259	protein_coding	Pentatricopeptide repeat domain containing protein	PPR
Os11g0109700	-	11	451635	453816	-	2143	protein_coding	Protein of unknown function Cys-rich family protein	-
Os03g0699800	Thionin 36	3	28054566	28055167	-	602	protein_coding	Conserved hypothetical protein	-
Os06g0216400	-	6	5921695	5923664	-	1970	protein_coding	Tetratricopeptide-like helical domain containing protein	-
Os07g0682000	-	7	28919586	28920774	+	942	protein_coding	Heavy metal transport/detoxification protein domain containing protein	-
Os06g0693200	RECEPTOR-LIKE CYTOPLASMIC KINASE 216	6	28941271	28943703	+	1841	protein_coding	Protein kinase, core domain containing protein	Pkinase_Tyr
Os07g0105000	UCLACYANIN-LIKE PROTEIN 20	7	291076	291795	+	608	protein_coding	Cupredoxin domain containing protein	Cu_bind_like
Os04g0528200	-	4	26392328	26393064	+	737	protein_coding	Similar to OSIGBa0115K01-H0319F09.17 protein	-
Os12g0511200	-	12	19694851	19698144	+	1598	protein_coding	Hly-III related domain containing protein	-
Os02g0198700	Subtilisin 12, SUBTILISIN 12	2	5530016	5536941	-	2710	protein_coding	Similar to Subtilisin-like protease	Peptidase_S8
Os04g0627300	-	4	31932864	31933709	+	630	protein_coding	Similar to H0303G06.2 protein	-
Os07g0192550	-	7	4999115	5000023	-	615	protein_coding	Conserved hypothetical protein	-
Os03g0305200	-	3	10831260	10832340	-	1081	protein_coding	Conserved hypothetical protein	-
Os11g0177301	-	11	3847968	3849051	+	1084	protein_coding	Conserved hypothetical protein	-
Os01g0869450	-	1	37682625	37684068	+	1444	protein_coding	Hypothetical protein	UDPGT
Os03g0799200	-	3	33315831	33319606	+	2780	protein_coding	Protein of unknown function DUF593 family protein	-
Os07g0174200	-	7	3898508	3900061	+	625	protein_coding	Similar to 40S ribosomal protein S18	-
Os05g0333500	DnaJ domain protein A7, rice DJA6 homolog	5	15617635	15624217	-	2192	protein_coding	Heat shock protein DnaJ family protein	DnaJ_C
Os04g0404000	-	4	20047576	20048091	+	516	protein_coding	Hypothetical gene	-
Os01g0882000	-	1	38287883	38289428	+	1546	protein_coding	Conserved hypothetical protein	-
Os11g0583200	-	11	22040372	22044971	+	2918	protein_coding	Hypothetical conserved gene	-
Os12g0609600	SMALL AUXIN-UP RNA 57	12	25744009	25745100	-	1092	protein_coding	Auxin responsive SAUR protein domain containing protein	-
Os07g0215500	rice allergen 16, endosperm-specific gene 100	7	6336198	6336838	-	641	protein_coding	Allergenic protein	-
Os01g0917700	-	1	40029945	40030969	-	918	protein_coding	Similar to wiscott-Aldrich syndrome, C-terminal	PBD
Os01g0576050	-	1	22233975	22234779	-	718	protein_coding	Hypothetical conserved gene	-
Os11g0625900	-	11	24533715	24537481	-	3767	protein_coding	Protein kinase, core domain containing protein	Pkinase
Os06g0633300	PHYTOSULFOKINE-ALPHA PRECURSOR	6	25670034	25671891	-	1849	protein_coding	Similar to Phytosulfokines 1	-
Os12g0624300	-	12	26669216	26670920	-	1705	protein_coding	Hypothetical protein	Na_Ca_ex
Os03g0622100	-	3	23609771	23611883	+	1409	protein_coding	Transcriptional factor B3 family protein	B3
Os10g0336600	-	10	9697028	9697723	+	535	protein_coding	Conserved hypothetical protein	-
Os04g0625100	-	4	31777314	31780978	+	2248	protein_coding	Similar to OSIGBa0148A10.1 protein	-
