gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	tf_family
Os06g0542300	-	6	20404356	20405495	-	924	protein_coding	Heavy metal transport/detoxification protein domain containing protein	HMA
Os11g0180100	-	11	3996813	3999825	-	1479	protein_coding	Conserved hypothetical protein	-
Os07g0619400	-	7	25585028	25585758	+	731	protein_coding	EF-Hand type domain containing protein	-
EPlORYSAT000373619	trnD	Mt	64882	64955	+	74	tRNA	-	-
Os08g0320900	endosperm-specific gene 120	8	13973143	13973797	+	655	protein_coding	Hypothetical protein	-
Os03g0283750	-	3	9743501	9744152	-	652	protein_coding	Conserved hypothetical protein	-
Os03g0663750	-	3	26070770	26072916	+	1732	protein_coding	Hypothetical protein	-
Os02g0155900	-	2	3065811	3072625	-	1845	protein_coding	Leucine-rich repeat domain containing protein	-
Os04g0493400	CHITINASE 4	4	24687753	24689297	-	1078	protein_coding	Similar to Chitinase	-
Os10g0419200	EARLY HEADING DATE 2	10	14739603	14743098	-	1877	protein_coding	Cys2/His2-type zinc finger transcription factor, Heading dat	-
Os12g0538700	GLUTAREDOXIN 29	12	21480112	21481099	+	988	protein_coding	Similar to AT.I.24-1 protein (Fragment)	-
Os04g0177400	-	4	5263669	5266752	-	2337	protein_coding	Similar to Riboflavin biosynthesis protein ribD	-
Os01g0135600	-	1	1928167	1930288	+	1951	protein_coding	Conserved hypothetical protein	-
Os12g0610250	-	12	25771051	25772690	-	1296	protein_coding	Conserved hypothetical protein	-
Os03g0307300	NICOTIANAMINE SYNTHASE 1	3	10929507	10930895	-	1389	protein_coding	Nicotianamine synthase 1 (EC 2.5.1.43) (S-adenosyl-L-methionine:S- adenosyl-L-methionine:S-adenosyl-methionine 3-amino-3- carboxypropyltransferase 1	-
Os11g0202500	-	11	5178433	5178938	+	506	protein_coding	UDP-glucuronosyl/UDP-glucosyltransferase domain containing protein	-
Os01g0606200	-	1	23890258	23890668	-	288	protein_coding	Conserved hypothetical protein	-
Os04g0308400	-	4	13934207	13937518	-	689	protein_coding	Similar to H0211A12.13 protein	-
Os03g0177966	-	3	4116058	4118887	-	2830	protein_coding	Hypothetical gene	GTP_EFTU
Os10g0196000	-	10	6698731	6702375	+	1790	protein_coding	Similar to Cytochrome P450 CYP98A7	p450
Os06g0642500	-	6	26155464	26159072	+	2225	protein_coding	Cytochrome P450 domain containing protein	p450
Os10g0536600	class III peroxidase 127	10	20895706	20895936	+	231	protein_coding	Plant peroxidase domain containing protein	-
Os06g0504450	-	6	17885715	17889958	-	2757	protein_coding	Conserved hypothetical protein	-
Os03g0643433	-	3	24811805	24814017	+	2022	protein_coding	Similar to J013022N21, full insert sequence	RVT_1
Os06g0313440	-	6	11988794	11989718	-	600	protein_coding	SAM dependent carboxyl methyltransferase domain containing protein	-
Os03g0684800	-	3	27302095	27303953	+	1724	protein_coding	Conserved hypothetical protein	-
Os09g0249000	-	9	3732475	3734886	-	1270	protein_coding	Galactose oxidase/kelch, beta-propeller domain containing protein	Kelch_1
Os12g0515300	MYB transcription factor 46	12	19991426	19992367	-	942	protein_coding	Homeodomain-like domain containing protein	-
Os06g0698711	-	6	29341909	29342600	-	692	protein_coding	Conserved hypothetical protein	-
ENSRNA049473214	SNORD14	3	31183727	31183847	-	121	snoRNA	Small nucleolar RNA SNORD14	-
Os04g0303250	-	4	13566810	13569752	+	2943	protein_coding	Hypothetical gene	Pkinase
Os05g0491700	VQ motif-containing protein 20	5	24171334	24171979	-	646	protein_coding	VQ domain containing protein	-
Os11g0582400	endosperm-specific gene 146	11	22012024	22013643	-	1620	protein_coding	Similar to Embryo-specific protein	-
Os07g0409200	-	7	12763740	12766733	+	1842	protein_coding	Carbohydrate kinase, FGGY domain containing protein	-
Os04g0127800	KIX domain protein 3, Mediator 15_1	4	1754439	1759735	+	3214	protein_coding	Coactivator CBP, KIX domain containing protein	-
Os12g0532500	-	12	21136245	21138179	+	1170	protein_coding	Conserved hypothetical protein	-
Os06g0317100	-	6	12273448	12274281	+	401	protein_coding	Similar to glycine-rich cell wall structural protein	-
Os06g0575000	-	6	22332680	22333906	+	1227	protein_coding	Similar to D-mannose binding lectin family protein	Pkinase
Os06g0702200	-	6	29596080	29598295	-	1492	protein_coding	Conserved hypothetical protein	-
Os02g0697550	-	2	28681884	28682890	+	1007	protein_coding	Hypothetical protein	-
Os01g0653200	-	1	26420263	26421981	+	1719	protein_coding	Glycosyl transferase, group 1 domain containing protein	Glycos_transf_1
Os03g0248400	-	3	7840989	7841604	+	616	protein_coding	Hypothetical protein	p450
Os05g0126700	-	5	1515572	1520637	+	4429	protein_coding	Conserved hypothetical protein	-
Os11g0244600	-	11	7771154	7772455	-	1302	protein_coding	Epsin-like, N-terminal domain containing protein	-
