gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	tf_family
Os04g0454200	-	4	22744192	22748050	+	1842	protein_coding	Similar to Monosaccharide transporter 1	Sugar_tr
Os02g0124501	-	2	1263685	1265966	+	1790	protein_coding	Hypothetical protein	ALO
Os02g0467600	cinnamate 4-hydroxylase 1	2	15734828	15736855	+	1909	protein_coding	Similar to Cinnamate 4-hydroxylase CYP73	p450
Os07g0667300	B-box-containing protein 23, CCT domain-containing gene 27, CCT (CO, CO-LIKE and TOC1) domain protein 27, CCT domain protein 27	7	28184879	28187843	-	1547	protein_coding	CONSTANS-like transcriptional activator, Negative regulation of flowerin	CCT
Os03g0808500	non-specific lipid transfer protein 1.3, lipid transfer protein 1.3, type 1 non-specific lipid transfer protein 3	3	33798940	33799687	+	654	protein_coding	Plant lipid transfer protein/Par allergen family protein	-
Os11g0668650	-	11	26984222	26986477	-	1604	protein_coding	Calmodulin binding protein-like family protein	-
Os10g0320100	FLAVONOID 3'-HYDROXYLASE	10	8679311	8681266	+	1863	protein_coding	Similar to Flavonoid 3'-monooxygenase (EC 1.14.13.21) (Flavonoid 3'-hydroxylase) (Cytochrome P450 75B2)	p450
Os12g0414500	-	12	12762896	12765776	-	2068	protein_coding	Aminoacyl-tRNA synthetase, class II (D, K and N)-like domain containing protein	tRNA-synt_2
Os12g0123800	NAC DOMAIN-CONTAINING PROTEIN 300	12	1146995	1148742	+	1632	protein_coding	No apical meristem (NAM) protein domain containing protein	NAM
Os04g0499100	-	4	24940515	24943098	+	2072	protein_coding	Biopterin transport-related protein BT1 family protein	-
Os01g0284900	-	1	10200477	10203472	-	1518	protein_coding	Conserved hypothetical protein	-
Os06g0549600	-	6	20808194	20810005	-	1812	protein_coding	FAD-linked oxidase, FAD-binding, subdomain 2 domain containing protein	FAD_binding_4
Os11g0249000	-	11	8072537	8078086	+	2945	protein_coding	NB-ARC domain containing protein	NB-ARC
Os07g0597100	-	7	24345060	24345963	+	904	protein_coding	Similar to Saccharopine dehydrogenase	-
Os09g0566050	-	9	22564044	22565353	+	1310	protein_coding	Similar to Prephenate dehydratase	-
Os05g0582600	SERINE CARBOXYPEPTIDASE 30	5	29000212	29002044	+	1833	protein_coding	Peptidase S10, serine carboxypeptidase family protein	Peptidase_S10
Os03g0204100	FH8	3	5458099	5462322	+	3054	protein_coding	Actin-binding FH2 domain containing protein	FH2
Os08g0480400	-	8	23730714	23732293	-	1089	protein_coding	Similar to cupin, RmlC-type	-
Os02g0217900	HSP19.0	2	6587377	6588245	-	869	protein_coding	Similar to Cytosolic class II small heat shock protein 4 (Fragment)	-
Os11g0172100	PECTIN METHYLESTERASE 30	11	3532246	3533854	+	1609	protein_coding	Similar to Pectinesterase	-
Os02g0151300	glycoside hydrolase OsGH9B7	2	2824488	2830257	-	2062	protein_coding	Similar to Cellulase (Fragment)	-
Os01g0973500	RECEPTOR-LIKE CYTOPLASMIC KINASE 57	1	42981239	42984988	-	1838	protein_coding	Similar to Protein kinase APK1A, chloroplast precursor (EC 2.7.1.-)	Pkinase_Tyr
Os07g0689150	-	7	29289228	29291615	-	561	protein_coding	Similar to BADH-like protein	Aldedh
Os04g0447100	LIPOXYGENASE 6	4	22305669	22309225	+	2833	protein_coding	Similar to Lipoxygenase	Lipoxygenase
Os01g0207900	USUALLY MULTIPLE ACIDS MOVE IN AND OUT TRANSPORTER 3	1	5856444	5857920	+	1154	protein_coding	Similar to nodulin-like protein	DUF6
Os07g0165700	-	7	3539543	3542189	-	1383	protein_coding	Conserved hypothetical protein	-
Os01g0156300	OsPUB44-interacting protein 1, PUB44-interacting protein 1	1	3013915	3014751	-	837	protein_coding	Similar to Cappuccino protein	-
Os03g0157400	ABC TRANSPORTER G FAMILY MEMBER 4	3	3076026	3085989	-	7485	protein_coding	ABC transporter-like domain containing protein	ABC2_membrane
Os09g0278000	-	9	5789801	5790358	+	558	protein_coding	Hypothetical conserved gene	-
Os05g0176400	ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 34	5	4581331	4584038	-	1788	protein_coding	Zinc finger, CCCH-type domain containing protein	-
Os05g0542001	-	5	26907339	26907602	-	264	protein_coding	Conserved hypothetical protein	-
Os02g0763800	-	2	32177755	32179122	+	1368	protein_coding	Xyloglucan fucosyltransferase domain containing protein	-
Os03g0355500	OsSTA100	3	13585245	13586204	+	960	protein_coding	Conserved hypothetical protein	-
Os11g0156600	-	11	2683005	2684962	+	465	protein_coding	Similar to H0622F05.7 protein	TB2_DP1_HVA22
Os09g0483100	-	9	18662882	18663545	+	664	protein_coding	EF-Hand type domain containing protein	-
Os02g0594800	NAC DOMAIN-CONTAINING PROTEIN 50	2	23062855	23066544	-	1845	protein_coding	No apical meristem (NAM) protein domain containing protein	NAM
Os01g0183850	-	1	4438266	4438766	+	501	protein_coding	Conserved hypothetical protein	-
Os01g0102000	NON-SPECIFIC PHOSPHOLIPASE C5	1	89763	91465	-	1703	protein_coding	Phosphoesterase family protein	Phosphoesterase
Os03g0574600	-	3	20961329	20962190	-	623	protein_coding	Conserved hypothetical protein	-
Os11g0182500	Ankyrin Repeat-Containing Protein OsPIANK1	11	4150087	4154740	-	1317	protein_coding	Ankyrin repeat-containing protein, Regulator in basal defens	-
Os08g0556300	-	8	27834584	27838060	-	809	protein_coding	Glycolipid transfer protein domain domain containing protein	-
Os08g0470700	ALPHA-CARBONIC ANHYDRASE 7	8	23147294	23151464	-	878	protein_coding	Similar to carbonic anhydrase	-
Os04g0119800	-	4	1160650	1166868	+	2548	protein_coding	Leucine-rich repeat domain containing protein	-
Os01g0895200	-	1	38916092	38917927	+	1660	protein_coding	DOMON related domain containing protein	-
