gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	tf_family
Os02g0467600	cinnamate 4-hydroxylase 1	2	15734828	15736855	+	1909	protein_coding	Similar to Cinnamate 4-hydroxylase CYP73	p450
Os01g0571300	HEAT STRESS TRANSCRIPTION FACTOR A7	1	21938865	21941797	+	1527	protein_coding	Similar to Heat shock transcription factor 31 (Fragment)	HSF_DNA-bind
Os12g0424700	CDKF-2	12	13444520	13445604	+	1085	protein_coding	Serine/threonine protein kinase domain containing protein	Pkinase
Os05g0454200	BRIGHT GREEN LEAF	5	22293498	22297207	+	2217	protein_coding	Guanine nucleotide exchange factors for Rop, Activation of small cuticular papillae development on leaf epidermi	DUF315
Os03g0406900	-	3	16692517	16696367	+	1771	protein_coding	Similar to predicted protein	-
Os05g0426800	-	5	20932275	20934024	+	824	protein_coding	Hypothetical conserved gene	-
Os09g0570850	-	9	22792228	22792931	-	459	protein_coding	Similar to Histone H2B	Histone
Os11g0249000	-	11	8072537	8078086	+	2945	protein_coding	NB-ARC domain containing protein	NB-ARC
Os07g0597100	-	7	24345060	24345963	+	904	protein_coding	Similar to Saccharopine dehydrogenase	-
Os09g0566050	-	9	22564044	22565353	+	1310	protein_coding	Similar to Prephenate dehydratase	-
Os05g0582600	SERINE CARBOXYPEPTIDASE 30	5	29000212	29002044	+	1833	protein_coding	Peptidase S10, serine carboxypeptidase family protein	Peptidase_S10
Os03g0204100	FH8	3	5458099	5462322	+	3054	protein_coding	Actin-binding FH2 domain containing protein	FH2
Os03g0391100	-	3	15668225	15671064	+	1308	protein_coding	Zinc finger, RING-type domain containing protein	-
Os04g0447100	LIPOXYGENASE 6	4	22305669	22309225	+	2833	protein_coding	Similar to Lipoxygenase	Lipoxygenase
Os02g0167200	-	2	3614133	3616333	-	2201	protein_coding	Pentatricopeptide repeat domain containing protein	-
Os10g0361900	-	10	11185582	11186269	+	688	protein_coding	Lipoxygenase, LH2 domain containing protein	-
Os12g0498900	-	12	18954678	18955772	+	999	protein_coding	Conserved hypothetical protein	-
Os04g0549800	ETHYLENE RESPONSE FACTOR 37	4	27523400	27524143	+	744	protein_coding	Similar to OSIGBa0134H18.5 protein	AP2
Os07g0165700	-	7	3539543	3542189	-	1383	protein_coding	Conserved hypothetical protein	-
Os06g0553550	-	6	21040598	21041308	-	711	protein_coding	Conserved hypothetical protein	AP2
Os10g0574500	-	10	22819400	22822941	-	1878	protein_coding	DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal domain containing protein	-
Os04g0518400	Phenylalanine ammonia-lyase 07	4	25927077	25929716	-	2549	protein_coding	Similar to Phenylalanine ammonia-lyase (Fragment)	-
Os08g0299300	-	8	12256992	12258654	-	787	protein_coding	Conserved hypothetical protein	-
Os08g0108300	OsWD40-152	8	400135	401424	-	1290	protein_coding	Pistil-specific extensin-like protein family protein	-
Os11g0197200	-	11	4859203	4863986	-	2865	protein_coding	Hypothetical protein	LRRNT_2
Os01g0977100	TETRASPANIN 1	1	43185350	43186282	+	933	protein_coding	Similar to predicted protein	Tetraspannin
Os11g0156600	-	11	2683005	2684962	+	465	protein_coding	Similar to H0622F05.7 protein	TB2_DP1_HVA22
Os08g0514033	-	8	25494552	25496092	-	901	protein_coding	Hypothetical protein	Pkinase
Os02g0594800	NAC DOMAIN-CONTAINING PROTEIN 50	2	23062855	23066544	-	1845	protein_coding	No apical meristem (NAM) protein domain containing protein	NAM
Os01g0183850	-	1	4438266	4438766	+	501	protein_coding	Conserved hypothetical protein	-
Os01g0102000	NON-SPECIFIC PHOSPHOLIPASE C5	1	89763	91465	-	1703	protein_coding	Phosphoesterase family protein	Phosphoesterase
Os08g0556300	-	8	27834584	27838060	-	809	protein_coding	Glycolipid transfer protein domain domain containing protein	-
Os08g0162200	-	8	3677031	3679364	+	2259	protein_coding	Pentatricopeptide repeat domain containing protein	PPR
Os01g0895200	-	1	38916092	38917927	+	1660	protein_coding	DOMON related domain containing protein	-
Os06g0298100	-	6	11068825	11069781	-	957	protein_coding	Conserved hypothetical protein	-
Os07g0440700	-	7	14862558	14864342	-	1785	protein_coding	Hypothetical conserved gene	-
Os07g0682000	-	7	28919586	28920774	+	942	protein_coding	Heavy metal transport/detoxification protein domain containing protein	-
Os05g0129400	-	5	1720445	1721211	+	767	protein_coding	Ankyrin repeat containing protein	-
Os11g0676500	-	11	27321474	27322040	+	567	protein_coding	Hypothetical conserved gene	-
Os09g0518000	-	9	20214433	20215935	+	1503	protein_coding	Similar to indole-3-acetate beta-glucosyltransferase	UDPGT
Os01g0899387	-	1	39117079	39117320	+	242	protein_coding	Conserved hypothetical protein	-
Os04g0627300	-	4	31932864	31933709	+	630	protein_coding	Similar to H0303G06.2 protein	-
Os06g0179100	-	6	3932020	3933032	+	912	protein_coding	Similar to H0306F03.13 protein	-
Os01g0901600	acyl-CoA synthetase 6	1	39257838	39261362	+	2036	protein_coding	Similar to 4-coumarate--CoA ligase-like 6	AMP-binding
Os07g0231133	-	7	7301837	7302479	+	643	protein_coding	Conserved hypothetical protein	-
Os01g0247900	-	1	8146442	8148059	-	894	protein_coding	AWPM-19-like family protein	-
Os01g0209800	cationic amino acid transporter 1	1	5983626	5985875	-	2154	protein_coding	Similar to Cationic amino acid transporter (Fragment)	-
Os01g0852400	-	1	36696905	36698963	-	2059	protein_coding	Protein of unknown function DUF740 family protein	-
Os11g0111200	-	11	537008	538198	-	1191	protein_coding	Conserved hypothetical protein	-
Os07g0513200	-	7	19668382	19683439	+	4122	protein_coding	Pentatricopeptide repeat domain containing protein	PPR
Os03g0712800	cytosolic glutamine synthase 3, cytosolic glutamine synthethase 1;3, GLUTAMINE SYNTHETASE 1;3, glutamine synthetase 1;3	3	28822424	28826321	-	1495	protein_coding	Cytosolic glutamine synthetas	-
Os01g0974900	-	1	43077383	43077649	+	267	protein_coding	Similar to 26S proteasome non-ATPase regulatory subunit 6	-
Os03g0203700	CA2+-ATPASE 1	3	5433914	5440324	+	3867	protein_coding	Similar to Calcium-transporting ATPase 2, plasma membrane-type (EC 3.6.3.8) (Ca(2+)-ATPase isoform 2)	Cation_ATPase_C
Os01g0872300	-	1	37828417	37829987	+	855	protein_coding	Similar to POT family protein	-
Os08g0376300	-	8	17650558	17653886	-	3261	protein_coding	Similar to Leucine-rich receptor-like protein kinase	Pkinase
Os10g0361876	-	10	11176582	11181022	+	998	protein_coding	Conserved hypothetical protein	-
Os12g0245100	KIX domain protein 11	12	8031420	8036687	+	1861	protein_coding	Conserved hypothetical protein	-
Os05g0527100	-	5	26201350	26202768	-	1419	protein_coding	UDP-glucuronosyl/UDP-glucosyltransferase family protein	UDPGT
