gene_id	gene_name	gene_chr	gene_start	gene_end	gene_strand	gene_length	gene_biotype	gene_description	tf_family
Os08g0487100	b-ZIP TRANSCRIPTION FACTOR 67	8	24083101	24084735	-	1635	protein_coding	Similar to BZIP transcription factor BZI-2	bZIP_1
Os12g0594200	-	12	24926341	24930364	+	3189	protein_coding	Hypothetical conserved gene	-
Os06g0542300	-	6	20404356	20405495	-	924	protein_coding	Heavy metal transport/detoxification protein domain containing protein	HMA
Os11g0180100	-	11	3996813	3999825	-	1479	protein_coding	Conserved hypothetical protein	-
Os01g0550800	-	1	20640981	20643879	+	1552	protein_coding	Protein of unknown function DUF239, plant domain containing protein	-
Os03g0389501	Metacaspase 2	3	15586221	15587152	-	858	protein_coding	Similar to LOL3	Peptidase_C14
Os04g0227000	-	4	8507962	8511064	+	3016	protein_coding	Leucine-rich repeat, N-terminal domain containing protein	Pkinase
Os06g0238600	-	6	7203993	7205520	+	315	protein_coding	Conserved hypothetical protein	-
Os07g0619400	-	7	25585028	25585758	+	731	protein_coding	EF-Hand type domain containing protein	-
Os06g0107100	-	6	454843	457220	+	1612	protein_coding	Protein of unknown function DUF819 family protein	-
EPlORYSAT000373619	trnD	Mt	64882	64955	+	74	tRNA	-	-
Os02g0623932	-	2	24871746	24872333	-	588	protein_coding	Similar to WAK80 - OsWAK receptor-like protein kinase	Pkinase
Os01g0743100	-	1	31047493	31049443	+	1315	protein_coding	IQ motif, EF-hand binding site domain containing protein	-
Os01g0359600	-	1	14587756	14591782	-	4027	protein_coding	Disease resistance protein domain containing protein	NB-ARC
Os08g0320900	endosperm-specific gene 120	8	13973143	13973797	+	655	protein_coding	Hypothetical protein	-
Os03g0283750	-	3	9743501	9744152	-	652	protein_coding	Conserved hypothetical protein	-
Os07g0188233	-	7	4719660	4722675	+	3016	protein_coding	Conserved hypothetical protein	-
Os01g0876650	-	1	38037620	38038360	-	645	protein_coding	Hypothetical conserved gene	-
Os03g0663750	-	3	26070770	26072916	+	1732	protein_coding	Hypothetical protein	-
Os02g0155900	-	2	3065811	3072625	-	1845	protein_coding	Leucine-rich repeat domain containing protein	-
Os05g0434800	-	5	21300430	21301218	+	608	protein_coding	Protein of unknown function DUF1218 domain containing protein	-
Os04g0493400	CHITINASE 4	4	24687753	24689297	-	1078	protein_coding	Similar to Chitinase	-
Os08g0174750	-	8	4351785	4352132	+	348	protein_coding	Hypothetical conserved gene	-
Os05g0537200	OsSTA158	5	26685979	26690338	+	1635	protein_coding	Similar to Myosin XI (Fragment)	Myosin_head
Os10g0419200	EARLY HEADING DATE 2	10	14739603	14743098	-	1877	protein_coding	Cys2/His2-type zinc finger transcription factor, Heading dat	-
Os12g0538700	GLUTAREDOXIN 29	12	21480112	21481099	+	988	protein_coding	Similar to AT.I.24-1 protein (Fragment)	-
Os04g0177400	-	4	5263669	5266752	-	2337	protein_coding	Similar to Riboflavin biosynthesis protein ribD	-
Os01g0930800	BETA-GLUCOSIDASE 5	1	40842288	40848191	+	1750	protein_coding	Glycoside hydrolase, family 1 protein	Glyco_hydro_1
Os01g0135600	-	1	1928167	1930288	+	1951	protein_coding	Conserved hypothetical protein	-
Os12g0610250	-	12	25771051	25772690	-	1296	protein_coding	Conserved hypothetical protein	-
Os03g0307300	NICOTIANAMINE SYNTHASE 1	3	10929507	10930895	-	1389	protein_coding	Nicotianamine synthase 1 (EC 2.5.1.43) (S-adenosyl-L-methionine:S- adenosyl-L-methionine:S-adenosyl-methionine 3-amino-3- carboxypropyltransferase 1	-
Os11g0202500	-	11	5178433	5178938	+	506	protein_coding	UDP-glucuronosyl/UDP-glucosyltransferase domain containing protein	-
Os01g0606200	-	1	23890258	23890668	-	288	protein_coding	Conserved hypothetical protein	-
Os04g0308400	-	4	13934207	13937518	-	689	protein_coding	Similar to H0211A12.13 protein	-
Os03g0177966	-	3	4116058	4118887	-	2830	protein_coding	Hypothetical gene	GTP_EFTU
Os02g0612200	-	2	24098151	24099882	-	1732	protein_coding	NB-ARC domain containing protein	NB-ARC
Os10g0196000	-	10	6698731	6702375	+	1790	protein_coding	Similar to Cytochrome P450 CYP98A7	p450
Os06g0642500	-	6	26155464	26159072	+	2225	protein_coding	Cytochrome P450 domain containing protein	p450
Os10g0536600	class III peroxidase 127	10	20895706	20895936	+	231	protein_coding	Plant peroxidase domain containing protein	-
Os10g0522200	-	10	20212100	20214072	+	1014	protein_coding	Hypothetical protein	-
Os06g0504450	-	6	17885715	17889958	-	2757	protein_coding	Conserved hypothetical protein	-
Os12g0575300	-	12	23739977	23740564	-	588	protein_coding	Conserved hypothetical protein	-
Os03g0643433	-	3	24811805	24814017	+	2022	protein_coding	Similar to J013022N21, full insert sequence	RVT_1
Os11g0160400	-	11	2932659	2933842	+	1184	protein_coding	Conserved hypothetical protein	-
Os05g0588700	-	5	29317649	29324873	-	3023	protein_coding	Paired amphipathic helix domain containing protein	-
Os08g0162700	-	8	3697393	3698162	+	770	protein_coding	Aldehyde dehydrogenase, conserved site domain containing protein	-
Os06g0313440	-	6	11988794	11989718	-	600	protein_coding	SAM dependent carboxyl methyltransferase domain containing protein	-
Os03g0684800	-	3	27302095	27303953	+	1724	protein_coding	Conserved hypothetical protein	-
Os10g0491801	-	10	18666474	18667000	-	527	protein_coding	Similar to ubiquitin	ubiquitin
Os09g0249000	-	9	3732475	3734886	-	1270	protein_coding	Galactose oxidase/kelch, beta-propeller domain containing protein	Kelch_1
Os03g0758250	-	3	31344685	31345751	-	1067	protein_coding	Hypothetical gene	-
Os09g0334800	-	9	10152941	10157508	+	3425	protein_coding	Similar to protein kinase	Pkinase
Os12g0515300	MYB transcription factor 46	12	19991426	19992367	-	942	protein_coding	Homeodomain-like domain containing protein	-
Os06g0698711	-	6	29341909	29342600	-	692	protein_coding	Conserved hypothetical protein	-
Os01g0566200	-	1	21661408	21662162	-	755	protein_coding	Hypothetical protein	-
Os01g0508300	-	1	17792209	17794497	+	2289	protein_coding	Conserved hypothetical protein	-
ENSRNA049473214	SNORD14	3	31183727	31183847	-	121	snoRNA	Small nucleolar RNA SNORD14	-
Os04g0303250	-	4	13566810	13569752	+	2943	protein_coding	Hypothetical gene	Pkinase
Os05g0491700	VQ motif-containing protein 20	5	24171334	24171979	-	646	protein_coding	VQ domain containing protein	-
Os04g0436900	-	4	21728529	21738217	-	2709	protein_coding	Hypothetical protein	-
Os07g0174700	-	7	3919914	3920834	+	921	protein_coding	Conserved hypothetical protein	-
Os12g0610200	PIL11	12	25768808	25773052	+	2080	protein_coding	Basic helix-loop-helix transcription factor, Regulation of grain siz	HLH
Os11g0582400	endosperm-specific gene 146	11	22012024	22013643	-	1620	protein_coding	Similar to Embryo-specific protein	-
Os08g0496700	-	8	24528147	24529130	+	888	protein_coding	Myb/SANT-like domain domain containing protein	-
Os03g0673800	HYPEROSMOLALITY-GATED CALCIUM-PERMEABLE CHANNEL 2.2	3	26623617	26632189	-	3641	protein_coding	Conserved hypothetical protein	-
Os07g0409200	-	7	12763740	12766733	+	1842	protein_coding	Carbohydrate kinase, FGGY domain containing protein	-
Os09g0344900	-	9	10768866	10770277	+	1200	protein_coding	Zinc finger, RING/FYVE/PHD-type domain containing protein	-
Os04g0127800	KIX domain protein 3, Mediator 15_1	4	1754439	1759735	+	3214	protein_coding	Coactivator CBP, KIX domain containing protein	-
